YYYYMMDD, C072, G072,TmeanDay_C
20010912,-9999,-9999,NA
20010913,-9999,-9999,NA
20010914,-9999,-9999,NA
20010915,-9999,-9999,NA
20010916,-9999,-9999,NA
20010917,-9999,-9999,NA
20010918,-9999,-9999,NA
20010919,-9999,-9999,NA
20010920,-9999,-9999,NA
20010921,-9999,-9999,NA
20010922,-9999,-9999,NA
20010923,-9999,-9999,NA
20010924,-9999,-9999,NA
20010925,-9999,-9999,NA
20010926,-9999,-9999,NA
20010927,-9999,-9999,NA
20010928,-9999,-9999,NA
20010929,-9999,-9999,NA
20010930,-9999,-9999,NA
20011001,-9999,-9999,NA
20011002,-9999,-9999,NA
20011003,-9999,-9999,NA
20011004,-9999,-9999,NA
20011005,-9999,-9999,NA
20011006,-9999,-9999,NA
20011007,-9999,-9999,NA
20011008,-9999,-9999,NA
20011009,-9999,-9999,NA
20011010,-9999,-9999,NA
20011011,-9999,-9999,NA
20011012,-9999,-9999,NA
20011013,-9999,-9999,NA
20011014,-9999,-9999,NA
20011015,-9999,-9999,NA
20011016,-9999,-9999,NA
20011017,-9999,-9999,NA
20011018,-9999,-9999,NA
20011019,-9999,-9999,NA
20011020,-9999,-9999,NA
20011021,-9999,-9999,NA
20011022,-9999,-9999,NA
20011023,-9999,-9999,NA
20011024,-9999,-9999,NA
20011025,-9999,-9999,NA
20011026,-9999,-9999,NA
20011027,-9999,-9999,NA
20011028,-9999,-9999,NA
20011029,-9999,-9999,NA
20011030,-9999,-9999,NA
20011031,-9999,-9999,NA
20011101,-9999,-9999,NA
20011102,-9999,-9999,NA
20011103,-9999,-9999,NA
20011104,-9999,-9999,NA
20011105,-9999,-9999,NA
20011106,-9999,-9999,NA
20011107,-9999,-9999,NA
20011108,-9999,-9999,NA
20011109,-9999,-9999,NA
20011110,-9999,-9999,NA
20011111,-9999,-9999,NA
20011112,-9999,-9999,NA
20011113,-9999,-9999,NA
20011114,-9999,-9999,NA
20011115,-9999,-9999,NA
20011116,-9999,-9999,NA
20011117,-9999,-9999,NA
20011118,-9999,-9999,NA
20011119,-9999,-9999,NA
20011120,-9999,-9999,NA
20011121,-9999,-9999,NA
20011122,-9999,-9999,NA
20011123,-9999,-9999,NA
20011124,-9999,-9999,NA
20011125,-9999,-9999,NA
20011126,-9999,-9999,NA
20011127,-9999,-9999,NA
20011128,-9999,-9999,NA
20011129,-9999,-9999,NA
20011130,-9999,-9999,NA
20011201,-9999,-9999,NA
20011202,-9999,-9999,NA
20011203,-9999,-9999,NA
20011204,-9999,-9999,NA
20011205,-9999,-9999,NA
20011206,-9999,-9999,NA
20011207,-9999,-9999,NA
20011208,-9999,-9999,NA
20011209,-9999,-9999,NA
20011210,-9999,-9999,NA
20011211,-9999,-9999,NA
20011212,-9999,-9999,NA
20011213,-9999,-9999,NA
20011214,-9999,-9999,NA
20011215,-9999,-9999,NA
20011216,-9999,-9999,NA
20011217,-9999,-9999,NA
20011218,-9999,-9999,NA
20011219,-9999,-9999,NA
20011220,-9999,-9999,NA
20011221,-9999,-9999,NA
20011222,-9999,-9999,NA
20011223,-9999,-9999,NA
20011224,-9999,-9999,NA
20011225,-9999,-9999,NA
20011226,-9999,-9999,NA
20011227,-9999,-9999,NA
20011228,-9999,-9999,NA
20011229,-9999,-9999,NA
20011230,-9999,-9999,NA
20011231,-9999,-9999,NA
20020101,-9999,-9999,NA
20020102,-9999,-9999,NA
20020103,-9999,-9999,NA
20020104,-9999,-9999,NA
20020105,-9999,-9999,NA
20020106,-9999,-9999,NA
20020107,-9999,-9999,NA
20020108,-9999,-9999,NA
20020109,-9999,-9999,NA
20020110,-9999,-9999,NA
20020111,-9999,-9999,NA
20020112,-9999,-9999,NA
20020113,-9999,-9999,NA
20020114,-9999,-9999,NA
20020115,-9999,-9999,NA
20020116,-9999,-9999,NA
20020117,-9999,-9999,NA
20020118,-9999,-9999,NA
20020119,-9999,-9999,NA
20020120,-9999,-9999,NA
20020121,-9999,-9999,NA
20020122,-9999,-9999,NA
20020123,-9999,-9999,NA
20020124,-9999,-9999,NA
20020125,-9999,63,6.3
20020126,-9999,81,8.1
20020127,-9999,92,9.2
20020128,-9999,99,9.9
20020129,-9999,70,7
20020130,-9999,65,6.5
20020131,-9999,59,5.9
20020201,-9999,69,6.9
20020202,-9999,81,8.1
20020203,-9999,91,9.1
20020204,-9999,56,5.6
20020205,-9999,73,7.3
20020206,-9999,23,2.3
20020207,-9999,45,4.5
20020208,-9999,88,8.8
20020209,-9999,82,8.2
20020210,-9999,82,8.2
20020211,-9999,86,8.6
20020212,-9999,96,9.6
20020213,-9999,91,9.1
20020214,-9999,13,1.3
20020215,-9999,7,0.7
20020216,-9999,3,0.3
20020217,-9999,11,1.1
20020218,-9999,18,1.8
20020219,-9999,20,2
20020220,-9999,29,2.9
20020221,-9999,30,3
20020222,-9999,43,4.3
20020223,-9999,63,6.3
20020224,-9999,63,6.3
20020225,-9999,68,6.8
20020226,-9999,72,7.2
20020227,-9999,66,6.6
20020228,-9999,43,4.3
20020301,-9999,25,2.5
20020302,-9999,13,1.3
20020303,-9999,19,1.9
20020304,-9999,49,4.9
20020305,-9999,19,1.9
20020306,-9999,26,2.6
20020307,-9999,-9999,NA
20020308,-9999,-9999,NA
