YYYYMMDD, C072, G072,Pday_mm
20010831,-9999,45,4.5
20010901,-9999,10,1
20010902,-9999,0,0
20010903,-9999,14,1.4
20010904,-9999,3,0.3
20010905,-9999,3,0.3
20010906,-9999,0,0
20010907,-9999,13,1.3
20010908,-9999,1,0.1
20010909,-9999,43,4.3
20010910,-9999,2,0.2
20010911,-9999,0,0
20010912,-9999,0,0
20010913,-9999,0,0
20010914,-9999,106,10.6
20010915,-9999,2,0.2
20010916,-9999,0,0
20010917,-9999,11,1.1
20010918,-9999,0,0
20010919,-9999,0,0
20010920,-9999,0,0
20010921,-9999,0,0
20010922,-9999,0,0
20010923,-9999,70,7
20010924,-9999,7,0.7
20010925,-9999,1,0.1
20010926,-9999,0,0
20010927,-9999,0,0
20010928,-9999,7,0.7
20010929,-9999,0,0
20010930,-9999,0,0
20011001,-9999,0,0
20011002,-9999,0,0
20011003,-9999,184,18.4
20011004,-9999,0,0
20011005,-9999,0,0
20011006,-9999,19,1.9
20011007,-9999,14,1.4
20011008,-9999,29,2.9
20011009,-9999,0,0
20011010,-9999,0,0
20011011,-9999,0,0
20011012,-9999,0,0
20011013,-9999,47,4.7
20011014,-9999,0,0
20011015,-9999,0,0
20011016,-9999,0,0
20011017,-9999,14,1.4
20011018,-9999,0,0
20011019,-9999,212,21.2
20011020,-9999,3,0.3
20011021,-9999,0,0
20011022,-9999,0,0
20011023,-9999,0,0
20011024,-9999,0,0
20011025,-9999,0,0
20011026,-9999,0,0
20011027,-9999,0,0
20011028,-9999,0,0
20011029,-9999,0,0
20011030,-9999,0,0
20011031,-9999,77,7.7
20011101,-9999,1,0.1
20011102,-9999,0,0
20011103,-9999,0,0
20011104,-9999,6,0.6
20011105,-9999,20,2
20011106,-9999,0,0
20011107,-9999,0,0
20011108,-9999,95,9.5
20011109,-9999,31,3.1
20011110,-9999,0,0
20011111,-9999,150,15
20011112,-9999,276,27.6
20011113,-9999,342,34.2
20011114,-9999,94,9.4
20011115,-9999,14,1.4
20011116,-9999,121,12.1
20011117,-9999,0,0
20011118,-9999,2,0.2
20011119,-9999,29,2.9
20011120,-9999,44,4.4
20011121,-9999,1,0.1
20011122,-9999,0,0
20011123,-9999,23,2.3
20011124,-9999,1,0.1
20011125,-9999,11,1.1
20011126,-9999,34,3.4
20011127,-9999,12,1.2
20011128,-9999,13,1.3
20011129,-9999,5,0.5
20011130,-9999,0,0
20011201,-9999,0,0
20011202,-9999,0,0
20011203,-9999,0,0
20011204,-9999,0,0
20011205,-9999,0,0
20011206,-9999,0,0
20011207,-9999,0,0
20011208,-9999,0,0
20011209,-9999,0,0
20011210,-9999,0,0
20011211,-9999,0,0
20011212,-9999,0,0
20011213,-9999,0,0
20011214,-9999,0,0
20011215,-9999,1,0.1
20011216,-9999,0,0
20011217,-9999,0,0
20011218,-9999,0,0
20011219,-9999,0,0
20011220,-9999,2,0.2
20011221,-9999,10,1
20011222,-9999,2,0.2
20011223,-9999,0,0
20011224,-9999,0,0
20011225,-9999,9,0.9
20011226,-9999,71,7.1
20011227,-9999,0,0
20011228,-9999,0,0
20011229,-9999,0,0
20011230,-9999,28,2.8
20011231,-9999,17,1.7
20020101,-9999,1,0.1
20020102,-9999,6,0.6
20020103,-9999,55,5.5
20020104,-9999,20,2
20020105,-9999,0,0
20020106,-9999,0,0
20020107,-9999,2,0.2
20020108,-9999,0,0
20020109,-9999,0,0
20020110,-9999,1,0.1
20020111,-9999,0,0
20020112,-9999,0,0
20020113,-9999,45,4.5
20020114,-9999,2,0.2
20020115,-9999,91,9.1
20020116,-9999,177,17.7
20020117,-9999,4,0.4
20020118,-9999,10,1
20020119,-9999,11,1.1
20020120,-9999,0,0
20020121,-9999,1,0.1
20020122,-9999,0,0
20020123,-9999,0,0
20020124,-9999,0,0
20020125,-9999,0,0
20020126,-9999,0,0
20020127,-9999,0,0
20020128,-9999,0,0
20020129,-9999,0,0
20020130,-9999,0,0
20020131,-9999,0,0
20020201,-9999,0,0
20020202,-9999,0,0
20020203,-9999,0,0
20020204,-9999,0,0
20020205,-9999,55,5.5
20020206,-9999,85,8.5
20020207,-9999,52,5.2
20020208,-9999,3,0.3
20020209,-9999,0,0
20020210,-9999,0,0
20020211,-9999,0,0
20020212,-9999,0,0
20020213,-9999,58,5.8
20020214,-9999,97,9.7
20020215,-9999,95,9.5
20020216,-9999,2,0.2
20020217,-9999,9,0.9
20020218,-9999,54,5.4
20020219,-9999,14,1.4
20020220,-9999,49,4.9
20020221,-9999,64,6.4
20020222,-9999,3,0.3
20020223,-9999,0,0
20020224,-9999,2,0.2
20020225,-9999,2,0.2
20020226,-9999,0,0
20020227,-9999,1,0.1
20020228,-9999,0,0
20020301,-9999,19,1.9
20020302,-9999,17,1.7
20020303,-9999,23,2.3
20020304,-9999,0,0
20020305,-9999,28,2.8
20020306,-9999,22,2.2
20020307,-9999,40,4
20020308,-9999,18,1.8
20020309,-9999,26,2.6
20020310,-9999,1,0.1
20020311,-9999,0,0
20020312,-9999,0,0
20020313,-9999,70,7
20020314,-9999,0,0
20020315,-9999,0,0
20020316,-9999,12,1.2
20020317,-9999,1,0.1
20020318,-9999,0,0
20020319,-9999,0,0
20020320,-9999,0,0
20020321,-9999,0,0
20020322,-9999,0,0
20020323,-9999,0,0
20020324,-9999,0,0
20020325,-9999,0,0
20020326,-9999,0,0
20020327,-9999,0,0
20020328,-9999,0,0
20020329,-9999,10,1
20020330,-9999,1,0.1
20020331,-9999,0,0
20020401,-9999,0,0
20020402,-9999,8,0.8
20020403,-9999,159,15.9
20020404,-9999,7,0.7
20020405,-9999,36,3.6
20020406,-9999,77,7.7
20020407,-9999,8,0.8
20020408,-9999,1,0.1
20020409,-9999,14,1.4
20020410,-9999,42,4.2
20020411,-9999,110,11
20020412,-9999,107,10.7
20020413,-9999,13,1.3
20020414,-9999,3,0.3
20020415,-9999,6,0.6
20020416,-9999,0,0
20020417,-9999,2,0.2
20020418,-9999,1,0.1
20020419,-9999,0,0
20020420,-9999,0,0
20020421,-9999,0,0
20020422,-9999,0,0
20020423,-9999,0,0
20020424,-9999,0,0
20020425,-9999,0,0
20020426,-9999,11,1.1
20020427,-9999,16,1.6
20020428,-9999,0,0
20020429,-9999,0,0
20020430,-9999,0,0
20020501,-9999,63,6.3
20020502,-9999,41,4.1
20020503,-9999,166,16.6
20020504,-9999,4,0.4
20020505,-9999,47,4.7
20020506,-9999,16,1.6
20020507,-9999,64,6.4
20020508,-9999,227,22.7
20020509,-9999,97,9.7
20020510,-9999,1,0.1
20020511,-9999,2,0.2
20020512,-9999,0,0
20020513,-9999,0,0
20020514,-9999,0,0
20020515,-9999,0,0
20020516,-9999,0,0
20020517,-9999,22,2.2
20020518,-9999,1,0.1
20020519,-9999,0,0
20020520,-9999,0,0
20020521,-9999,0,0
20020522,-9999,79,7.9
20020523,-9999,9,0.9
20020524,-9999,53,5.3
20020525,-9999,21,2.1
20020526,-9999,33,3.3
20020527,-9999,0,0
20020528,-9999,29,2.9
20020529,-9999,10,1
20020530,-9999,1,0.1
20020531,-9999,21,2.1
20020601,-9999,0,0
20020602,-9999,9,0.9
20020603,-9999,28,2.8
20020604,-9999,26,2.6
20020605,-9999,56,5.6
20020606,-9999,11,1.1
20020607,-9999,122,12.2
20020608,-9999,6,0.6
20020609,-9999,0,0
20020610,-9999,5,0.5
20020611,-9999,0,0
20020612,-9999,0,0
20020613,-9999,0,0
20020614,-9999,0,0
20020615,-9999,0,0
20020616,-9999,0,0
20020617,-9999,0,0
20020618,-9999,15,1.5
20020619,-9999,40,4
20020620,-9999,18,1.8
20020621,-9999,2,0.2
20020622,-9999,0,0
20020623,-9999,19,1.9
20020624,-9999,27,2.7
20020625,-9999,1,0.1
20020626,-9999,0,0
20020627,-9999,-9999,NA
20020628,-9999,-9999,NA
20020629,-9999,-9999,NA
20020630,-9999,-9999,NA
