Nday,Tree,Date,avg_SWexcess,liq_O18,liq_2H
-23,4,14/06/2018,-0.209618077,-12.91920991,-96.85216647
-21,4,16/06/2018,-3.042570938,-14.26109655,-108.9441372
-20,4,17/06/2018,6.084621264,-11.89324039,-83.47873746
-19,4,18/06/2018,-3.186711156,-13.46966211,-103.6273797
-18,4,19/06/2018,-2.186253733,-12.83067797,-98.21793172
-17,4,20/06/2018,5.418248007,-11.62543384,-82.29724548
-16,4,21/06/2018,-1.437912063,-14.26646066,-107.3764906
-15,4,22/06/2018,3.855663526,-11.98175955,-86.3184774
-14,4,23/06/2018,0.674904536,-13.07659961,-97.05363277
-13,4,24/06/2018,-2.403571843,-14.7576047,-111.7310443
-10,4,27/06/2018,8.985218316,-12.87759665,-87.37019854
-9,4,28/06/2018,-4.331600264,-13.10749517,-102.2733169
-8,4,29/06/2018,3.841249921,-12.80440028,-92.00911202
-7,4,30/06/2018,-0.768544651,-13.00971582,-98.0355838
-6,4,01/07/2018,-9.753900069,-17.66583837,-139.1481848
-5,4,02/07/2018,16.2840263,-16.27032737,-103.4812325
-3,4,04/07/2018,6.026431374,-10.60648639,-74.65832473
1,4,08/07/2018,1.100316492,-15.5693755,-113.8283744
2,4,09/07/2018,7.884054798,-12.73755573,-87.50507971
5,4,12/07/2018,9.957392739,-14.9885929,-100.9638982
7,4,14/07/2018,8.310011075,-14.69413811,-100.5795419
8,4,15/07/2018,11.42308613,-14.861993,-98.62466557
10,4,17/07/2018,-2.637131753,-16.39146999,-123.2382747
11,4,18/07/2018,0.370842512,-13.43618542,-99.8388369
13,4,20/07/2018,4.404166109,-11.44212065,-82.04646635
19,4,26/07/2018,-10.20560509,-12.20707733,-101.9344386
20,4,27/07/2018,-8.637595158,-11.85878125,-97.96318577
21,4,28/07/2018,-8.352276301,-11.72926026,-96.78417208
22,4,29/07/2018,-7.63246042,-11.67710721,-95.70450019
23,4,30/07/2018,-10.55753125,-10.48065938,-90.37408097
24,4,31/07/2018,-8.190387658,-10.8403413,-90.48874262
25,4,01/08/2018,-8.166488081,-10.42714146,-87.61376416
26,4,02/08/2018,-9.029137918,-7.053012163,-65.19492184
27,4,03/08/2018,-3.644228362,-10.75039469,-85.32195169
28,4,04/08/2018,-5.688762313,-8.534880132,-72.07943522
29,4,05/08/2018,-4.602010958,-6.073973177,-54.01242588
31,4,07/08/2018,-17.58708745,-12.46054173,-111.0648254
32,4,08/08/2018,-0.917632476,-5.929210466,-49.32918469
33,4,09/08/2018,-9.946010449,-8.970664777,-79.34359741
34,4,10/08/2018,-4.079139788,-6.491981256,-56.37381045
35,4,11/08/2018,-6.800216407,-9.195710573,-77.75061936
36,4,12/08/2018,-8.919645394,-8.479371329,-74.92730756
42,4,18/08/2018,-5.99907103,-4.605438186,-45.27659452
43,4,19/08/2018,-2.746587035,-8.838234014,-71.23040173
44,4,20/08/2018,-4.475592601,-8.175187621,-68.38438719
45,4,21/08/2018,-1.462216829,-7.574934136,-61.22926237
46,4,22/08/2018,-6.147828161,-7.732421136,-67.001534
47,4,23/08/2018,-12.48324641,-10.6620805,-93.55160186
