Nday,Tree,Date,avg_SWexcess,liq_O18,liq_2H,SWexPred,Pred_18O,Pred_2H
-23,6,14/06/2018,-5.402994766,-12.37810527,-98.31192113,NA,NA,NA
-22,6,15/06/2018,-8.038063338,-13.2551724,-106.9987529,NA,NA,NA
-20,6,17/06/2018,-8.952714321,-13.52371953,-109.7663791,NA,NA,NA
-19,6,18/06/2018,-3.507356733,-12.25762037,-95.58493732,NA,NA,NA
-18,6,19/06/2018,-2.82533154,-11.86928207,-92.2233778,NA,NA,NA
-17,6,20/06/2018,-7.530547707,-12.12327975,-98.68117796,NA,NA,NA
-16,6,21/06/2018,-2.4598962,-10.61614597,-83.21130338,NA,NA,NA
-15,6,22/06/2018,-5.213353799,-13.33631806,-104.7339484,NA,NA,NA
-14,6,23/06/2018,-2.585322012,-11.66068419,-90.54404291,NA,NA,NA
-13,6,24/06/2018,-10.90572793,-13.71629861,-113.0481883,NA,NA,NA
-12,6,25/06/2018,-10.49724384,-13.43948175,-110.7296679,NA,NA,NA
-9,6,28/06/2018,-7.882836919,-11.34501302,-93.66342677,NA,NA,NA
-8,6,29/06/2018,-3.616624194,-10.82032672,-85.7768786,NA,NA,NA
-7,6,30/06/2018,-0.462642183,-10.6749045,-81.61948321,NA,NA,NA
-4,6,03/07/2018,-1.413334797,-7.40265946,-59.99168507,NA,NA,NA
-3,6,04/07/2018,-6.50188611,-10.5883988,-87.06183785,NA,NA,NA
1,NA,NA,NA,NA,NA,-12.56702442,-13.67450614,-114.4211168
2,6,09/07/2018,-11.55305829,-13.10815755,-109.4993454,-11.55305829,-13.10815755,-109.4993454
3,NA,NA,NA,NA,NA,-10.29477152,-12.79754966,-106.0978642
4,NA,NA,NA,NA,NA,-8.90758555,-12.76074483,-104.4567249
5,NA,NA,NA,NA,NA,-7.447262219,-12.9319425,-104.1776655
6,NA,NA,NA,NA,NA,-5.969563355,-13.24534215,-104.8624242
7,NA,NA,NA,NA,NA,-4.530250787,-13.63514322,-106.112739
8,NA,NA,NA,NA,NA,-3.185086342,-14.03554518,-107.5303481
9,NA,NA,NA,NA,NA,-1.989831851,-14.38074748,-108.7169894
10,NA,NA,NA,NA,NA,-1.000249142,-14.60494958,-109.2744012
11,6,18/07/2018,-0.272100043,-14.64235093,-108.8043215,-0.272100043,-14.64235093,-108.8043215
12,NA,NA,NA,NA,NA,0.135987119,-14.45257792,-107.0868005
13,NA,NA,NA,NA,NA,0.153918032,-14.09696454,-104.6151373
14,NA,NA,NA,NA,NA,-0.291268114,-13.66227172,-102.060943
15,6,22/07/2018,-1.272532129,-13.23526039,-100.0958288,-1.272532129,-13.23526039,-100.0958288
16,NA,NA,NA,NA,NA,-2.627349224,-12.8759064,-98.9711034
17,NA,NA,NA,NA,NA,-3.251252225,-12.53704546,-97.25686587
18,NA,NA,NA,NA,NA,-1.804288358,-12.14472818,-93.10291282
19,6,26/07/2018,3.05349515,-11.62500522,-84.65904084,3.05349515,-11.62500522,-84.65904084
20,6,27/07/2018,12.02152927,-10.72424684,-69.47577395,12.02152927,-10.72424684,-69.47577395
21,6,28/07/2018,20.82310412,-9.833142405,-54.52557847,20.82310412,-9.833142405,-54.52557847
22,6,29/07/2018,23.42445281,-11.37168816,-62.54019548,23.42445281,-11.37168816,-62.54019548
23,6,30/07/2018,31.89280439,-10.0272846,-44.79545932,31.89280439,-10.0272846,-44.79545932
24,6,31/07/2018,27.9497029,-9.946732704,-48.18275276,27.9497029,-9.946732704,-48.18275276
25,6,01/08/2018,30.10282479,-9.594591869,-43.59985911,30.10282479,-9.594591869,-43.59985911
26,6,02/08/2018,30.81265466,-9.433035668,-41.77529146,30.81265466,-9.433035668,-41.77529146
27,6,03/08/2018,33.42420888,-7.600188888,-26.51709444,33.42420888,-7.600188888,-26.51709444
28,6,04/08/2018,29.68649314,-9.039163133,-40.18373247,29.68649314,-9.039163133,-40.18373247
29,6,05/08/2018,31.99143371,-6.98478076,-23.70355354,31.99143371,-6.98478076,-23.70355354
30,NA,NA,NA,NA,NA,30.87663079,-6.670210928,-22.64782461
31,NA,NA,NA,NA,NA,26.2334606,-8.196899861,-37.82514844
32,6,08/08/2018,22.51486505,-9.164666557,-48.2213342,22.51486505,-9.164666557,-48.2213342
33,NA,NA,NA,NA,NA,22.45255977,-8.105176686,-40.97315936
34,6,10/08/2018,21.89335536,-7.277482593,-35.82127454,21.89335536,-7.277482593,-35.82127454
35,6,11/08/2018,18.10637632,-8.200093394,-45.9742681,18.10637632,-8.200093394,-45.9742681
36,6,12/08/2018,17.71423354,-7.479688984,-41.39562045,17.71423354,-7.479688984,-41.39562045
37,NA,NA,NA,NA,NA,18.60329289,-6.518943889,-33.87741994
38,NA,NA,NA,NA,NA,19.45089579,-5.92811479,-28.95309626
39,NA,NA,NA,NA,NA,19.93729611,-5.6749213,-26.71966085
40,NA,NA,NA,NA,NA,19.74274777,-5.727083035,-27.27412518
41,NA,NA,NA,NA,NA,18.54750464,-6.052319611,-30.71350068
42,6,18/08/2018,16.03182062,-6.618350644,-37.13479883,16.03182062,-6.618350644,-37.13479883
43,6,19/08/2018,13.15275496,-7.480975824,-45.96597822,13.15275496,-7.480975824,-45.96597822
44,6,20/08/2018,14.90563079,-7.343048376,-43.261403,14.90563079,-7.343048376,-43.261403
45,6,21/08/2018,18.91621711,-3.662324949,-13.85382503,18.91621711,-3.662324949,-13.85382503
46,6,22/08/2018,12.78902136,-7.18461268,-44.28480613,12.78902136,-7.18461268,-44.28480613
47,6,23/08/2018,12.17131025,-7.702280697,-48.47442655,12.17131025,-7.702280697,-48.47442655
