"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2009,11,"P7",40,"07"
"2017Y",2009,11,"P8",168,"08"
"2017Y",2009,11,"P9",74,"09"
"2017Y",2009,11,"P10",0,"010"
"2017Y",2009,11,"P11",0,"011"
"2017Y",2009,11,"P12",0,"012"
"2017Y",2009,11,"P13",0,"013"
"2017Y",2009,11,"P14",8,"014"
"2017Y",2009,11,"P15",0,"015"
"2017Y",2009,11,"P16",0,"016"
"2017Y",2009,11,"P17",0,"017"
"2017Y",2009,11,"P18",0,"018"
"2017Y",2009,11,"P19",0,"019"
"2017Y",2009,11,"P20",0,"020"
"2017Y",2009,11,"P21",4,"021"
"2017Y",2009,11,"P22",0,"022"
"2017Y",2009,11,"P23",0,"023"
"2017Y",2009,11,"P24",0,"024"
"2017Y",2009,11,"P25",0,"025"
"2017Y",2009,11,"P26",20,"026"
"2017Y",2009,11,"P27",0,"027"
"2017Y",2009,11,"P28",156,"028"
"2017Y",2009,11,"P29",18,"029"
"2017Y",2009,11,"P30",16,"030"
"2017Y",2009,11,"P31",NA,"031"
"2017Y",2009,12,"P1",2,"01"
"2017Y",2009,12,"P2",74,"02"
"2017Y",2009,12,"P3",8,"03"
"2017Y",2009,12,"P4",2,"04"
"2017Y",2009,12,"P5",0,"05"
"2017Y",2009,12,"P6",104,"06"
"2017Y",2009,12,"P7",18,"07"
"2017Y",2009,12,"P8",0,"08"
"2017Y",2009,12,"P9",0,"09"
"2017Y",2009,12,"P10",0,"010"
"2017Y",2009,12,"P11",0,"011"
"2017Y",2009,12,"P12",0,"012"
"2017Y",2009,12,"P13",0,"013"
"2017Y",2009,12,"P14",0,"014"
"2017Y",2009,12,"P15",0,"015"
"2017Y",2009,12,"P16",52,"016"
"2017Y",2009,12,"P17",0,"017"
"2017Y",2009,12,"P18",6,"018"
"2017Y",2009,12,"P19",0,"019"
"2017Y",2009,12,"P20",4,"020"
"2017Y",2009,12,"P21",276,"021"
"2017Y",2009,12,"P22",94,"022"
"2017Y",2009,12,"P23",446,"023"
"2017Y",2009,12,"P24",108,"024"
"2017Y",2009,12,"P25",2,"025"
"2017Y",2009,12,"P26",172,"026"
"2017Y",2009,12,"P27",54,"027"
"2017Y",2009,12,"P28",252,"028"
"2017Y",2009,12,"P29",280,"029"
"2017Y",2009,12,"P30",192,"030"
"2017Y",2009,12,"P31",66,"031"
"2017Y",2010,1,"P1",6,"01"
"2017Y",2010,1,"P2",0,"02"
"2017Y",2010,1,"P3",30,"03"
"2017Y",2010,1,"P4",124,"04"
"2017Y",2010,1,"P5",0,"05"
"2017Y",2010,1,"P6",0,"06"
"2017Y",2010,1,"P7",0,"07"
"2017Y",2010,1,"P8",0,"08"
"2017Y",2010,1,"P9",4,"09"
"2017Y",2010,1,"P10",0,"010"
"2017Y",2010,1,"P11",10,"011"
"2017Y",2010,1,"P12",66,"012"
