"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2016,11,"P20",234,"020"
"2017Y",2016,11,"P21",54,"021"
"2017Y",2016,11,"P22",106,"022"
"2017Y",2016,11,"P23",20,"023"
"2017Y",2016,11,"P24",24,"024"
"2017Y",2016,11,"P25",10,"025"
"2017Y",2016,11,"P26",172,"026"
"2017Y",2016,11,"P27",0,"027"
"2017Y",2016,11,"P28",0,"028"
"2017Y",2016,11,"P29",2,"029"
"2017Y",2016,11,"P30",2,"030"
"2017Y",2016,11,"P31",NA,"031"
"2017Y",2016,12,"P1",0,"01"
"2017Y",2016,12,"P2",0,"02"
"2017Y",2016,12,"P3",50,"03"
"2017Y",2016,12,"P4",130,"04"
"2017Y",2016,12,"P5",2,"05"
"2017Y",2016,12,"P6",2,"06"
"2017Y",2016,12,"P7",0,"07"
"2017Y",2016,12,"P8",2,"08"
"2017Y",2016,12,"P9",2,"09"
"2017Y",2016,12,"P10",2,"010"
"2017Y",2016,12,"P11",0,"011"
"2017Y",2016,12,"P12",0,"012"
"2017Y",2016,12,"P13",0,"013"
"2017Y",2016,12,"P14",0,"014"
"2017Y",2016,12,"P15",12,"015"
"2017Y",2016,12,"P16",42,"016"
"2017Y",2016,12,"P17",0,"017"
"2017Y",2016,12,"P18",0,"018"
"2017Y",2016,12,"P19",0,"019"
"2017Y",2016,12,"P20",16,"020"
"2017Y",2016,12,"P21",2,"021"
"2017Y",2016,12,"P22",4,"022"
"2017Y",2016,12,"P23",0,"023"
"2017Y",2016,12,"P24",0,"024"
"2017Y",2016,12,"P25",0,"025"
"2017Y",2016,12,"P26",0,"026"
"2017Y",2016,12,"P27",0,"027"
"2017Y",2016,12,"P28",0,"028"
"2017Y",2016,12,"P29",0,"029"
"2017Y",2016,12,"P30",0,"030"
"2017Y",2016,12,"P31",0,"031"
"2017Y",2017,1,"P1",0,"01"
"2017Y",2017,1,"P2",0,"02"
"2017Y",2017,1,"P3",0,"03"
"2017Y",2017,1,"P4",0,"04"
"2017Y",2017,1,"P5",0,"05"
"2017Y",2017,1,"P6",0,"06"
"2017Y",2017,1,"P7",0,"07"
"2017Y",2017,1,"P8",0,"08"
"2017Y",2017,1,"P9",14,"09"
"2017Y",2017,1,"P10",50,"010"
"2017Y",2017,1,"P11",0,"011"
"2017Y",2017,1,"P12",2,"012"
"2017Y",2017,1,"P13",0,"013"
"2017Y",2017,1,"P14",0,"014"
"2017Y",2017,1,"P15",16,"015"
"2017Y",2017,1,"P16",134,"016"
"2017Y",2017,1,"P17",0,"017"
"2017Y",2017,1,"P18",0,"018"
"2017Y",2017,1,"P19",0,"019"
"2017Y",2017,1,"P20",6,"020"
"2017Y",2017,1,"P21",0,"021"
"2017Y",2017,1,"P22",0,"022"
"2017Y",2017,1,"P23",0,"023"
"2017Y",2017,1,"P24",0,"024"
"2017Y",2017,1,"P25",0,"025"
"2017Y",2017,1,"P26",0,"026"
"2017Y",2017,1,"P27",64,"027"
"2017Y",2017,1,"P28",32,"028"
"2017Y",2017,1,"P29",2,"029"
"2017Y",2017,1,"P30",4,"030"
"2017Y",2017,1,"P31",0,"031"
"2017Y",2017,2,"P1",44,"01"
"2017Y",2017,2,"P2",156,"02"
"2017Y",2017,2,"P3",276,"03"
"2017Y",2017,2,"P4",318,"04"
"2017Y",2017,2,"P5",0,"05"
"2017Y",2017,2,"P6",0,"06"
"2017Y",2017,2,"P7",40,"07"
"2017Y",2017,2,"P8",32,"08"
"2017Y",2017,2,"P9",0,"09"
"2017Y",2017,2,"P10",0,"010"
"2017Y",2017,2,"P11",22,"011"
"2017Y",2017,2,"P12",72,"012"
"2017Y",2017,2,"P13",36,"013"
"2017Y",2017,2,"P14",2,"014"
"2017Y",2017,2,"P15",0,"015"
"2017Y",2017,2,"P16",0,"016"
"2017Y",2017,2,"P17",0,"017"
"2017Y",2017,2,"P18",0,"018"
"2017Y",2017,2,"P19",0,"019"
"2017Y",2017,2,"P20",0,"020"
"2017Y",2017,2,"P21",0,"021"
"2017Y",2017,2,"P22",0,"022"
"2017Y",2017,2,"P23",0,"023"
"2017Y",2017,2,"P24",0,"024"
"2017Y",2017,2,"P25",0,"025"
"2017Y",2017,2,"P26",0,"026"
"2017Y",2017,2,"P27",0,"027"
"2017Y",2017,2,"P28",18,"028"
"2017Y",2017,2,"P29",NA,"029"
"2017Y",2017,2,"P30",NA,"030"
"2017Y",2017,2,"P31",NA,"031"
"2017Y",2017,3,"P1",2,"01"
"2017Y",2017,3,"P2",0,"02"
"2017Y",2017,3,"P3",82,"03"
"2017Y",2017,3,"P4",0,"04"
"2017Y",2017,3,"P5",10,"05"
"2017Y",2017,3,"P6",0,"06"
"2017Y",2017,3,"P7",0,"07"
"2017Y",2017,3,"P8",0,"08"
"2017Y",2017,3,"P9",0,"09"
"2017Y",2017,3,"P10",0,"010"
"2017Y",2017,3,"P11",0,"011"
"2017Y",2017,3,"P12",44,"012"
"2017Y",2017,3,"P13",0,"013"
"2017Y",2017,3,"P14",0,"014"
"2017Y",2017,3,"P15",0,"015"
"2017Y",2017,3,"P16",0,"016"
"2017Y",2017,3,"P17",0,"017"
"2017Y",2017,3,"P18",0,"018"
"2017Y",2017,3,"P19",0,"019"
"2017Y",2017,3,"P20",0,"020"
"2017Y",2017,3,"P21",0,"021"
"2017Y",2017,3,"P22",20,"022"
"2017Y",2017,3,"P23",36,"023"
"2017Y",2017,3,"P24",12,"024"
"2017Y",2017,3,"P25",88,"025"
"2017Y",2017,3,"P26",44,"026"
"2017Y",2017,3,"P27",16,"027"
"2017Y",2017,3,"P28",0,"028"
"2017Y",2017,3,"P29",0,"029"
"2017Y",2017,3,"P30",0,"030"
"2017Y",2017,3,"P31",12,"031"
"2017Y",2017,4,"P1",8,"01"
"2017Y",2017,4,"P2",2,"02"
"2017Y",2017,4,"P3",0,"03"
"2017Y",2017,4,"P4",0,"04"
"2017Y",2017,4,"P5",0,"05"
"2017Y",2017,4,"P6",0,"06"
"2017Y",2017,4,"P7",0,"07"
"2017Y",2017,4,"P8",0,"08"
"2017Y",2017,4,"P9",0,"09"
"2017Y",2017,4,"P10",0,"010"
"2017Y",2017,4,"P11",0,"011"
"2017Y",2017,4,"P12",0,"012"
"2017Y",2017,4,"P13",0,"013"
"2017Y",2017,4,"P14",0,"014"
"2017Y",2017,4,"P15",0,"015"
"2017Y",2017,4,"P16",0,"016"
"2017Y",2017,4,"P17",0,"017"
"2017Y",2017,4,"P18",0,"018"
"2017Y",2017,4,"P19",0,"019"
"2017Y",2017,4,"P20",0,"020"
"2017Y",2017,4,"P21",0,"021"
"2017Y",2017,4,"P22",0,"022"
"2017Y",2017,4,"P23",0,"023"
"2017Y",2017,4,"P24",NA,"024"
"2017Y",2017,4,"P25",126,"025"
"2017Y",2017,4,"P26",2,"026"
"2017Y",2017,4,"P27",0,"027"
"2017Y",2017,4,"P28",0,"028"
"2017Y",2017,4,"P29",44,"029"
"2017Y",2017,4,"P30",72,"030"
"2017Y",2017,4,"P31",NA,"031"
"2017Y",2017,5,"P1",0,"01"
"2017Y",2017,5,"P2",0,"02"
"2017Y",2017,5,"P3",0,"03"
"2017Y",2017,5,"P4",0,"04"
"2017Y",2017,5,"P5",44,"05"
"2017Y",2017,5,"P6",0,"06"
"2017Y",2017,5,"P7",0,"07"
"2017Y",2017,5,"P8",0,"08"
"2017Y",2017,5,"P9",94,"09"
"2017Y",2017,5,"P10",180,"010"
"2017Y",2017,5,"P11",80,"011"
"2017Y",2017,5,"P12",176,"012"
"2017Y",2017,5,"P13",8,"013"
"2017Y",2017,5,"P14",2,"014"
"2017Y",2017,5,"P15",0,"015"
"2017Y",2017,5,"P16",0,"016"
"2017Y",2017,5,"P17",16,"017"
"2017Y",2017,5,"P18",108,"018"
"2017Y",2017,5,"P19",0,"019"
"2017Y",2017,5,"P20",0,"020"
"2017Y",2017,5,"P21",0,"021"
"2017Y",2017,5,"P22",82,"022"
"2017Y",2017,5,"P23",0,"023"
"2017Y",2017,5,"P24",0,"024"
"2017Y",2017,5,"P25",0,"025"
"2017Y",2017,5,"P26",72,"026"
"2017Y",2017,5,"P27",0,"027"
"2017Y",2017,5,"P28",150,"028"
"2017Y",2017,5,"P29",10,"029"
"2017Y",2017,5,"P30",10,"030"
"2017Y",2017,5,"P31",12,"031"
"2017Y",2017,6,"P1",200,"01"
"2017Y",2017,6,"P2",252,"02"
"2017Y",2017,6,"P3",10,"03"
"2017Y",2017,6,"P4",142,"04"
"2017Y",2017,6,"P5",0,"05"
"2017Y",2017,6,"P6",0,"06"
"2017Y",2017,6,"P7",0,"07"
"2017Y",2017,6,"P8",2,"08"
"2017Y",2017,6,"P9",0,"09"
"2017Y",2017,6,"P10",0,"010"
"2017Y",2017,6,"P11",0,"011"
"2017Y",2017,6,"P12",0,"012"
"2017Y",2017,6,"P13",0,"013"
"2017Y",2017,6,"P14",0,"014"
"2017Y",2017,6,"P15",0,"015"
"2017Y",2017,6,"P16",0,"016"
"2017Y",2017,6,"P17",0,"017"
"2017Y",2017,6,"P18",0,"018"
"2017Y",2017,6,"P19",12,"019"
"2017Y",2017,6,"P20",0,"020"
"2017Y",2017,6,"P21",0,"021"
"2017Y",2017,6,"P22",NA,"022"
"2017Y",2017,6,"P23",NA,"023"
"2017Y",2017,6,"P24",NA,"024"
"2017Y",2017,6,"P25",NA,"025"
"2017Y",2017,6,"P26",6,"026"
"2017Y",2017,6,"P27",14,"027"
"2017Y",2017,6,"P28",10,"028"
"2017Y",2017,6,"P29",12,"029"
"2017Y",2017,6,"P30",4,"030"
"2017Y",2017,6,"P31",NA,"031"
"2017Y",2017,7,"P1",0,"01"
"2017Y",2017,7,"P2",0,"02"
"2017Y",2017,7,"P3",0,"03"
"2017Y",2017,7,"P4",0,"04"
"2017Y",2017,7,"P5",8,"05"
"2017Y",2017,7,"P6",68,"06"
"2017Y",2017,7,"P7",30,"07"
"2017Y",2017,7,"P8",432,"08"
"2017Y",2017,7,"P9",10,"09"
"2017Y",2017,7,"P10",0,"010"
"2017Y",2017,7,"P11",0,"011"
"2017Y",2017,7,"P12",0,"012"
"2017Y",2017,7,"P13",0,"013"
"2017Y",2017,7,"P14",0,"014"
"2017Y",2017,7,"P15",0,"015"
"2017Y",2017,7,"P16",140,"016"
"2017Y",2017,7,"P17",0,"017"
"2017Y",2017,7,"P18",0,"018"
"2017Y",2017,7,"P19",0,"019"
"2017Y",2017,7,"P20",0,"020"
"2017Y",2017,7,"P21",0,"021"
"2017Y",2017,7,"P22",0,"022"
"2017Y",2017,7,"P23",0,"023"
"2017Y",2017,7,"P24",0,"024"
"2017Y",2017,7,"P25",0,"025"
"2017Y",2017,7,"P26",0,"026"
"2017Y",2017,7,"P27",0,"027"
"2017Y",2017,7,"P28",0,"028"
"2017Y",2017,7,"P29",0,"029"
"2017Y",2017,7,"P30",0,"030"
"2017Y",2017,7,"P31",0,"031"
"2017Y",2017,8,"P1",0,"01"
"2017Y",2017,8,"P2",0,"02"
"2017Y",2017,8,"P3",0,"03"
"2017Y",2017,8,"P4",0,"04"
"2017Y",2017,8,"P5",0,"05"
"2017Y",2017,8,"P6",0,"06"
"2017Y",2017,8,"P7",0,"07"
"2017Y",2017,8,"P8",0,"08"
"2017Y",2017,8,"P9",0,"09"
"2017Y",2017,8,"P10",0,"010"
"2017Y",2017,8,"P11",0,"011"
"2017Y",2017,8,"P12",0,"012"
"2017Y",2017,8,"P13",0,"013"
"2017Y",2017,8,"P14",8,"014"
"2017Y",2017,8,"P15",0,"015"
"2017Y",2017,8,"P16",0,"016"
"2017Y",2017,8,"P17",0,"017"
"2017Y",2017,8,"P18",0,"018"
"2017Y",2017,8,"P19",0,"019"
"2017Y",2017,8,"P20",0,"020"
"2017Y",2017,8,"P21",0,"021"
"2017Y",2017,8,"P22",0,"022"
"2017Y",2017,8,"P23",78,"023"
"2017Y",2017,8,"P24",0,"024"
"2017Y",2017,8,"P25",0,"025"
"2017Y",2017,8,"P26",0,"026"
"2017Y",2017,8,"P27",64,"027"
"2017Y",2017,8,"P28",210,"028"
"2017Y",2017,8,"P29",0,"029"
"2017Y",2017,8,"P30",44,"030"
"2017Y",2017,8,"P31",0,"031"
"2017Y",2017,9,"P1",0,"01"
"2017Y",2017,9,"P2",0,"02"
"2017Y",2017,9,"P3",2,"03"
"2017Y",2017,9,"P4",0,"04"
"2017Y",2017,9,"P5",0,"05"
"2017Y",2017,9,"P6",0,"06"
"2017Y",2017,9,"P7",0,"07"
"2017Y",2017,9,"P8",0,"08"
"2017Y",2017,9,"P9",16,"09"
"2017Y",2017,9,"P10",0,"010"
"2017Y",2017,9,"P11",0,"011"
"2017Y",2017,9,"P12",0,"012"
"2017Y",2017,9,"P13",0,"013"
"2017Y",2017,9,"P14",0,"014"
"2017Y",2017,9,"P15",0,"015"
"2017Y",2017,9,"P16",0,"016"
"2017Y",2017,9,"P17",8,"017"
"2017Y",2017,9,"P18",0,"018"
"2017Y",2017,9,"P19",0,"019"
"2017Y",2017,9,"P20",0,"020"
"2017Y",2017,9,"P21",0,"021"
"2017Y",2017,9,"P22",0,"022"
"2017Y",2017,9,"P23",0,"023"
"2017Y",2017,9,"P24",0,"024"
"2017Y",2017,9,"P25",0,"025"
"2017Y",2017,9,"P26",0,"026"
"2017Y",2017,9,"P27",0,"027"
"2017Y",2017,9,"P28",0,"028"
"2017Y",2017,9,"P29",0,"029"
"2017Y",2017,9,"P30",0,"030"
"2017Y",2017,9,"P31",NA,"031"
"2017Y",2017,10,"P1",0,"01"
"2017Y",2017,10,"P2",0,"02"
"2017Y",2017,10,"P3",0,"03"
"2017Y",2017,10,"P4",0,"04"
"2017Y",2017,10,"P5",0,"05"
"2017Y",2017,10,"P6",0,"06"
"2017Y",2017,10,"P7",0,"07"
"2017Y",2017,10,"P8",0,"08"
"2017Y",2017,10,"P9",0,"09"
"2017Y",2017,10,"P10",0,"010"
"2017Y",2017,10,"P11",0,"011"
"2017Y",2017,10,"P12",0,"012"
"2017Y",2017,10,"P13",0,"013"
"2017Y",2017,10,"P14",0,"014"
"2017Y",2017,10,"P15",0,"015"
"2017Y",2017,10,"P16",0,"016"
"2017Y",2017,10,"P17",42,"017"
"2017Y",2017,10,"P18",258,"018"
"2017Y",2017,10,"P19",2,"019"
"2017Y",2017,10,"P20",0,"020"
"2017Y",2017,10,"P21",0,"021"
"2017Y",2017,10,"P22",0,"022"
"2017Y",2017,10,"P23",0,"023"
"2017Y",2017,10,"P24",0,"024"
"2017Y",2017,10,"P25",0,"025"
"2017Y",2017,10,"P26",0,"026"
"2017Y",2017,10,"P27",0,"027"
"2017Y",2017,10,"P28",0,"028"
"2017Y",2017,10,"P29",0,"029"
"2017Y",2017,10,"P30",0,"030"
"2017Y",2017,10,"P31",0,"031"
"2017Y",2017,11,"P1",2,"01"
"2017Y",2017,11,"P2",0,"02"
"2017Y",2017,11,"P3",26,"03"
"2017Y",2017,11,"P4",48,"04"
"2017Y",2017,11,"P5",12,"05"
"2017Y",2017,11,"P6",22,"06"
"2017Y",2017,11,"P7",4,"07"
"2017Y",2017,11,"P8",12,"08"
"2017Y",2017,11,"P9",4,"09"
"2017Y",2017,11,"P10",6,"010"
"2017Y",2017,11,"P11",0,"011"
"2017Y",2017,11,"P12",18,"012"
"2017Y",2017,11,"P13",4,"013"
"2017Y",2017,11,"P14",0,"014"
"2017Y",2017,11,"P15",0,"015"
"2017Y",2017,11,"P16",0,"016"
"2017Y",2017,11,"P17",0,"017"
"2017Y",2017,11,"P18",0,"018"
"2017Y",2017,11,"P19",0,"019"
"2017Y",2017,11,"P20",0,"020"
"2017Y",2017,11,"P21",0,"021"
"2017Y",2017,11,"P22",0,"022"
"2017Y",2017,11,"P23",0,"023"
"2017Y",2017,11,"P24",80,"024"
"2017Y",2017,11,"P25",8,"025"
"2017Y",2017,11,"P26",0,"026"
"2017Y",2017,11,"P27",0,"027"
"2017Y",2017,11,"P28",0,"028"
"2017Y",2017,11,"P29",2,"029"
"2017Y",2017,11,"P30",2,"030"
"2017Y",2017,11,"P31",NA,"031"
"2017Y",2017,12,"P1",18,"01"
"2017Y",2017,12,"P2",10,"02"
"2017Y",2017,12,"P3",0,"03"
"2017Y",2017,12,"P4",12,"04"
"2017Y",2017,12,"P5",0,"05"
"2017Y",2017,12,"P6",0,"06"
"2017Y",2017,12,"P7",0,"07"
"2017Y",2017,12,"P8",2,"08"
"2017Y",2017,12,"P9",12,"09"
"2017Y",2017,12,"P10",412,"010"
"2017Y",2017,12,"P11",24,"011"
"2017Y",2017,12,"P12",0,"012"
"2017Y",2017,12,"P13",0,"013"
"2017Y",2017,12,"P14",10,"014"
"2017Y",2017,12,"P15",4,"015"
"2017Y",2017,12,"P16",10,"016"
"2017Y",2017,12,"P17",6,"017"
"2017Y",2017,12,"P18",8,"018"
"2017Y",2017,12,"P19",0,"019"
"2017Y",2017,12,"P20",0,"020"
"2017Y",2017,12,"P21",0,"021"
"2017Y",2017,12,"P22",0,"022"
"2017Y",2017,12,"P23",0,"023"
"2017Y",2017,12,"P24",0,"024"
"2017Y",2017,12,"P25",34,"025"
"2017Y",2017,12,"P26",170,"026"
"2017Y",2017,12,"P27",32,"027"
"2017Y",2017,12,"P28",8,"028"
"2017Y",2017,12,"P29",2,"029"
"2017Y",2017,12,"P30",0,"030"
"2017Y",2017,12,"P31",16,"031"
"2017Y",2018,1,"P1",0,"01"
"2017Y",2018,1,"P2",0,"02"
"2017Y",2018,1,"P3",0,"03"
"2017Y",2018,1,"P4",0,"04"
"2017Y",2018,1,"P5",120,"05"
"2017Y",2018,1,"P6",0,"06"
"2017Y",2018,1,"P7",60,"07"
"2017Y",2018,1,"P8",4,"08"
"2017Y",2018,1,"P9",2,"09"
"2017Y",2018,1,"P10",56,"010"
"2017Y",2018,1,"P11",26,"011"
"2017Y",2018,1,"P12",8,"012"
"2017Y",2018,1,"P13",0,"013"
"2017Y",2018,1,"P14",16,"014"
"2017Y",2018,1,"P15",0,"015"
"2017Y",2018,1,"P16",0,"016"
"2017Y",2018,1,"P17",0,"017"
"2017Y",2018,1,"P18",0,"018"
"2017Y",2018,1,"P19",0,"019"
"2017Y",2018,1,"P20",2,"020"
"2017Y",2018,1,"P21",2,"021"
"2017Y",2018,1,"P22",0,"022"
"2017Y",2018,1,"P23",0,"023"
"2017Y",2018,1,"P24",0,"024"
"2017Y",2018,1,"P25",34,"025"
"2017Y",2018,1,"P26",4,"026"
"2017Y",2018,1,"P27",12,"027"
"2017Y",2018,1,"P28",0,"028"
"2017Y",2018,1,"P29",0,"029"
"2017Y",2018,1,"P30",0,"030"
"2017Y",2018,1,"P31",0,"031"
"2017Y",2018,2,"P1",6,"01"
"2017Y",2018,2,"P2",2,"02"
"2017Y",2018,2,"P3",4,"03"
"2017Y",2018,2,"P4",12,"04"
"2017Y",2018,2,"P5",2,"05"
"2017Y",2018,2,"P6",0,"06"
"2017Y",2018,2,"P7",0,"07"
"2017Y",2018,2,"P8",0,"08"
"2017Y",2018,2,"P9",12,"09"
"2017Y",2018,2,"P10",14,"010"
"2017Y",2018,2,"P11",24,"011"
"2017Y",2018,2,"P12",4,"012"
"2017Y",2018,2,"P13",4,"013"
"2017Y",2018,2,"P14",10,"014"
"2017Y",2018,2,"P15",0,"015"
"2017Y",2018,2,"P16",0,"016"
"2017Y",2018,2,"P17",0,"017"
"2017Y",2018,2,"P18",8,"018"
"2017Y",2018,2,"P19",22,"019"
"2017Y",2018,2,"P20",24,"020"
"2017Y",2018,2,"P21",4,"021"
"2017Y",2018,2,"P22",0,"022"
"2017Y",2018,2,"P23",0,"023"
"2017Y",2018,2,"P24",0,"024"
"2017Y",2018,2,"P25",0,"025"
"2017Y",2018,2,"P26",0,"026"
"2017Y",2018,2,"P27",0,"027"
"2017Y",2018,2,"P28",584,"028"
"2017Y",2018,2,"P29",NA,"029"
"2017Y",2018,2,"P30",NA,"030"
"2017Y",2018,2,"P31",NA,"031"
"2017Y",2018,3,"P1",184,"01"
"2017Y",2018,3,"P2",184,"02"
"2017Y",2018,3,"P3",80,"03"
"2017Y",2018,3,"P4",20,"04"
"2017Y",2018,3,"P5",48,"05"
"2017Y",2018,3,"P6",40,"06"
"2017Y",2018,3,"P7",14,"07"
"2017Y",2018,3,"P8",20,"08"
"2017Y",2018,3,"P9",168,"09"
"2017Y",2018,3,"P10",108,"010"
"2017Y",2018,3,"P11",78,"011"
"2017Y",2018,3,"P12",12,"012"
"2017Y",2018,3,"P13",6,"013"
"2017Y",2018,3,"P14",242,"014"
"2017Y",2018,3,"P15",32,"015"
"2017Y",2018,3,"P16",4,"016"
"2017Y",2018,3,"P17",8,"017"
"2017Y",2018,3,"P18",8,"018"
"2017Y",2018,3,"P19",54,"019"
"2017Y",2018,3,"P20",26,"020"
"2017Y",2018,3,"P21",0,"021"
"2017Y",2018,3,"P22",0,"022"
"2017Y",2018,3,"P23",68,"023"
"2017Y",2018,3,"P24",0,"024"
"2017Y",2018,3,"P25",4,"025"
"2017Y",2018,3,"P26",2,"026"
"2017Y",2018,3,"P27",0,"027"
"2017Y",2018,3,"P28",2,"028"
"2017Y",2018,3,"P29",12,"029"
"2017Y",2018,3,"P30",18,"030"
"2017Y",2018,3,"P31",68,"031"
"2017Y",2018,4,"P1",0,"01"
"2017Y",2018,4,"P2",6,"02"
"2017Y",2018,4,"P3",68,"03"
"2017Y",2018,4,"P4",44,"04"
"2017Y",2018,4,"P5",2,"05"
"2017Y",2018,4,"P6",204,"06"
"2017Y",2018,4,"P7",68,"07"
"2017Y",2018,4,"P8",16,"08"
"2017Y",2018,4,"P9",42,"09"
"2017Y",2018,4,"P10",180,"010"
"2017Y",2018,4,"P11",96,"011"
"2017Y",2018,4,"P12",52,"012"
"2017Y",2018,4,"P13",26,"013"
"2017Y",2018,4,"P14",0,"014"
"2017Y",2018,4,"P15",118,"015"
"2017Y",2018,4,"P16",0,"016"
"2017Y",2018,4,"P17",0,"017"
"2017Y",2018,4,"P18",0,"018"
"2017Y",2018,4,"P19",0,"019"
"2017Y",2018,4,"P20",0,"020"
"2017Y",2018,4,"P21",0,"021"
"2017Y",2018,4,"P22",0,"022"
"2017Y",2018,4,"P23",0,"023"
"2017Y",2018,4,"P24",0,"024"
"2017Y",2018,4,"P25",0,"025"
"2017Y",2018,4,"P26",0,"026"
"2017Y",2018,4,"P27",0,"027"
"2017Y",2018,4,"P28",0,"028"
"2017Y",2018,4,"P29",26,"029"
"2017Y",2018,4,"P30",2,"030"
"2017Y",2018,4,"P31",NA,"031"
"2017Y",2018,5,"P1",0,"01"
"2017Y",2018,5,"P2",24,"02"
"2017Y",2018,5,"P3",0,"03"
"2017Y",2018,5,"P4",0,"04"
"2017Y",2018,5,"P5",0,"05"
"2017Y",2018,5,"P6",0,"06"
"2017Y",2018,5,"P7",92,"07"
"2017Y",2018,5,"P8",2,"08"
"2017Y",2018,5,"P9",0,"09"
"2017Y",2018,5,"P10",0,"010"
"2017Y",2018,5,"P11",42,"011"
"2017Y",2018,5,"P12",2,"012"
"2017Y",2018,5,"P13",4,"013"
"2017Y",2018,5,"P14",2,"014"
"2017Y",2018,5,"P15",0,"015"
"2017Y",2018,5,"P16",0,"016"
"2017Y",2018,5,"P17",30,"017"
"2017Y",2018,5,"P18",26,"018"
"2017Y",2018,5,"P19",0,"019"
"2017Y",2018,5,"P20",0,"020"
"2017Y",2018,5,"P21",48,"021"
"2017Y",2018,5,"P22",2,"022"
"2017Y",2018,5,"P23",66,"023"
"2017Y",2018,5,"P24",70,"024"
"2017Y",2018,5,"P25",62,"025"
"2017Y",2018,5,"P26",30,"026"
"2017Y",2018,5,"P27",12,"027"
"2017Y",2018,5,"P28",8,"028"
"2017Y",2018,5,"P29",46,"029"
"2017Y",2018,5,"P30",170,"030"
"2017Y",2018,5,"P31",50,"031"
"2017Y",2018,6,"P1",108,"01"
"2017Y",2018,6,"P2",48,"02"
"2017Y",2018,6,"P3",52,"03"
"2017Y",2018,6,"P4",18,"04"
"2017Y",2018,6,"P5",0,"05"
"2017Y",2018,6,"P6",2,"06"
"2017Y",2018,6,"P7",10,"07"
"2017Y",2018,6,"P8",14,"08"
"2017Y",2018,6,"P9",28,"09"
"2017Y",2018,6,"P10",36,"010"
"2017Y",2018,6,"P11",32,"011"
"2017Y",2018,6,"P12",4,"012"
"2017Y",2018,6,"P13",0,"013"
"2017Y",2018,6,"P14",0,"014"
"2017Y",2018,6,"P15",0,"015"
"2017Y",2018,6,"P16",0,"016"
"2017Y",2018,6,"P17",0,"017"
"2017Y",2018,6,"P18",0,"018"
"2017Y",2018,6,"P19",0,"019"
"2017Y",2018,6,"P20",0,"020"
"2017Y",2018,6,"P21",0,"021"
"2017Y",2018,6,"P22",0,"022"
"2017Y",2018,6,"P23",0,"023"
"2017Y",2018,6,"P24",0,"024"
"2017Y",2018,6,"P25",0,"025"
"2017Y",2018,6,"P26",44,"026"
"2017Y",2018,6,"P27",20,"027"
"2017Y",2018,6,"P28",260,"028"
"2017Y",2018,6,"P29",200,"029"
"2017Y",2018,6,"P30",126,"030"
"2017Y",2018,6,"P31",NA,"031"
"2017Y",2018,7,"P1",0,"01"
"2017Y",2018,7,"P2",0,"02"
"2017Y",2018,7,"P3",0,"03"
"2017Y",2018,7,"P4",0,"04"
"2017Y",2018,7,"P5",0,"05"
"2017Y",2018,7,"P6",0,"06"
"2017Y",2018,7,"P7",178,"07"
"2017Y",2018,7,"P8",116,"08"
"2017Y",2018,7,"P9",0,"09"
"2017Y",2018,7,"P10",0,"010"
"2017Y",2018,7,"P11",16,"011"
"2017Y",2018,7,"P12",0,"012"
"2017Y",2018,7,"P13",0,"013"
"2017Y",2018,7,"P14",0,"014"
"2017Y",2018,7,"P15",0,"015"
"2017Y",2018,7,"P16",0,"016"
"2017Y",2018,7,"P17",0,"017"
"2017Y",2018,7,"P18",0,"018"
"2017Y",2018,7,"P19",0,"019"
"2017Y",2018,7,"P20",26,"020"
"2017Y",2018,7,"P21",0,"021"
"2017Y",2018,7,"P22",0,"022"
"2017Y",2018,7,"P23",0,"023"
"2017Y",2018,7,"P24",0,"024"
"2017Y",2018,7,"P25",0,"025"
"2017Y",2018,7,"P26",0,"026"
"2017Y",2018,7,"P27",0,"027"
"2017Y",2018,7,"P28",0,"028"
"2017Y",2018,7,"P29",0,"029"
"2017Y",2018,7,"P30",0,"030"
"2017Y",2018,7,"P31",0,"031"
"2017Y",2018,8,"P1",0,"01"
"2017Y",2018,8,"P2",0,"02"
"2017Y",2018,8,"P3",0,"03"
"2017Y",2018,8,"P4",0,"04"
"2017Y",2018,8,"P5",0,"05"
"2017Y",2018,8,"P6",0,"06"
"2017Y",2018,8,"P7",0,"07"
"2017Y",2018,8,"P8",0,"08"
"2017Y",2018,8,"P9",0,"09"
"2017Y",2018,8,"P10",0,"010"
"2017Y",2018,8,"P11",0,"011"
"2017Y",2018,8,"P12",18,"012"
"2017Y",2018,8,"P13",0,"013"
"2017Y",2018,8,"P14",0,"014"
"2017Y",2018,8,"P15",0,"015"
"2017Y",2018,8,"P16",0,"016"
"2017Y",2018,8,"P17",0,"017"
"2017Y",2018,8,"P18",0,"018"
"2017Y",2018,8,"P19",0,"019"
"2017Y",2018,8,"P20",0,"020"
"2017Y",2018,8,"P21",0,"021"
"2017Y",2018,8,"P22",4,"022"
"2017Y",2018,8,"P23",0,"023"
"2017Y",2018,8,"P24",0,"024"
"2017Y",2018,8,"P25",0,"025"
"2017Y",2018,8,"P26",0,"026"
"2017Y",2018,8,"P27",0,"027"
"2017Y",2018,8,"P28",20,"028"
"2017Y",2018,8,"P29",38,"029"
"2017Y",2018,8,"P30",0,"030"
"2017Y",2018,8,"P31",0,"031"
"2017Y",2018,9,"P1",0,"01"
