INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
2017Y,2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,72,0,0,0
2017Y,2012,8,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,46,0,NA
2017Y,2012,9,0,0,0,0,0,0,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,112,0,138,0,10,168,2,0,NA
2017Y,2012,10,0,0,0,0,0,0,0,0,0,74,62,0,0,46,0,0,0,118,148,94,70,0,0,44,76,16,24,2,0,0,0
2017Y,2012,11,10,0,100,10,2,2,8,34,42,26,2,0,0,0,0,0,56,0,2,0,0,0,0,0,54,4,2,22,6,4,NA
2017Y,2012,12,0,0,0,0,0,0,18,6,0,0,0,2,170,206,14,100,0,2,8,6,0,0,0,0,18,0,0,2,2,0,2
2017Y,2013,1,24,6,0,0,0,0,0,0,0,8,0,14,4,36,34,94,12,400,134,16,12,34,34,38,18,0,66,0,0,0,0
2017Y,2013,2,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017Y,2013,3,NA,0,0,138,56,88,56,16,8,10,58,4,0,2,16,20,94,10,26,6,0,20,0,12,122,28,28,4,336,36,78
2017Y,2013,4,14,8,20,12,0,20,2,8,2,0,36,0,0,0,0,0,0,4,2,0,0,0,0,0,6,64,28,0,56,104,NA
2017Y,2013,5,12,0,0,0,0,0,0,0,20,2,0,0,0,NA,NA,24,NA,34,120,NA,NA,0,0,0,0,128,88,4,29,10,0
2017Y,2013,6,0,0,0,0,40,2,24,68,52,0,0,0,0,0,0,0,0,286,18,0,76,0,0,0,0,0,0,0,0,0,NA
2017Y,2013,7,24,0,0,0,0,0,0,0,0,14,0,24,0,60,34,44,102,0,12,4,2,0,0,0,0,0,0,6,0,0,0
2017Y,2013,8,0,0,0,0,0,0,54,0,0,0,0,54,0,0,0,286,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017Y,2013,9,0,0,0,0,16,12,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,24,26,NA
2017Y,2013,10,6,18,122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,76,0,120,136,2,0,0,4,0,0
2017Y,2013,11,0,4,0,40,0,0,0,4,0,0,0,2,2,28,46,44,76,64,24,14,32,6,2,0,0,0,0,0,0,16,NA
2017Y,2013,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,26,80,0,0,0,28,510,44,0,114,2,0,4,12
2017Y,2014,1,318,70,62,208,0,12,6,0,0,0,0,12,0,10,44,2,38,138,40,16,24,2,2,18,0,0,4,46,50,4,68
2017Y,2014,2,10,14,16,284,62,94,86,76,82,50,58,92,52,52,0,0,0,0,0,20,NA,0,0,8,34,2,16,46,NA,NA,NA
2017Y,2014,3,42,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,2,38,46,46,30,0,10,0,0
2017Y,2014,4,0,120,6,0,0,0,0,0,0,110,2,0,0,0,4,4,0,0,172,2,78,0,6,92,0,28,0,8,0,0,NA
2017Y,2014,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,80,50,38,68,8,22,NA,NA,NA,58,22,0,0
2017Y,2014,6,0,0,0,0,0,8,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,198,0,NA,NA,0,0,0,NA
2017Y,2014,7,12,8,210,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,16,0,0,0,0,0,0,0
2017Y,2014,8,NA,NA,NA,NA,0,0,0,0,0,0,0,6,0,0,0,0,0,128,0,0,0,24,0,0,0,0,0,0,0,0,12
2017Y,2014,9,0,0,0,0,0,0,0,38,0,0,0,0,30,34,8,0,0,30,0,NA,234,8,0,0,0,0,22,92,2,0,NA
2017Y,2014,10,0,0,0,0,0,0,0,132,114,58,94,118,30,10,96,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2017Y,2014,11,0,126,259,52,28,0,2,26,0,44,68,2,126,36,96,110,0,2,0,0,0,0,0,0,24,6,106,344,360,34,NA
2017Y,2014,12,106,2,0,0,4,20,12,28,4,0,0,2,70,110,10,28,6,0,0,0,0,0,0,0,2,0,106,6,0,0,0
2017Y,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,10,0,10,6,2,32,4,8,0,0,2,0,42,198,22
2017Y,2015,2,30,42,12,0,0,0,10,0,0,0,6,4,12,14,34,16,0,0,0,8,18,14,82,70,72,20,0,0,NA,NA,NA
2017Y,2015,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,66,2,100,16,4,408,106,2,4,0,0,0,0,0
