INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
9158A,2001,8,-3,0,0,0,0,0,0,0,0,0,0,0,165,-3,30,0,0,0,0,0,0,0,0,0,30,28,0,0,-3,0,0
9158A,2001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,10,40,30,35,0,0,0,0,0,0,NA
9158A,2001,10,0,0,6,0,0,20,0,38,0,0,0,0,0,2,0,0,0,72,79,10,0,35,0,0,0,0,0,0,0,0,0
9158A,2001,11,0,0,0,12,0,0,0,100,3,0,0,63,356,45,23,15,0,17,18,-3,0,0,0,0,0,20,0,4,0,0,NA
9158A,2001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,10,20
9158A,2002,1,32,-3,125,-3,0,0,0,0,0,0,0,0,80,0,96,30,-3,3,2,0,0,15,25,0,0,0,0,0,0,0,0
9158A,2002,2,0,0,-3,0,57,90,0,0,0,0,0,0,26,30,-3,7,7,28,0,76,3,0,0,0,0,0,2,5,NA,NA,NA
9158A,2002,3,0,10,3,14,220,40,-3,0,0,0,0,0,11,32,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2002,4,0,23,105,0,45,0,0,2,0,23,195,31,31,-3,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2002,5,17,60,12,32,9,-3,217,220,143,-3,0,0,0,0,0,0,24,0,0,7,0,34,0,0,0,15,0,0,0,0,80
9158A,2002,6,0,42,0,244,56,45,36,100,0,0,-3,0,0,0,0,0,0,0,27,0,0,0,0,5,0,32,0,0,0,0,NA
9158A,2002,7,0,0,0,0,0,0,0,327,65,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,62,0,0,0
9158A,2002,8,0,0,0,0,23,0,0,0,72,55,0,-3,0,5,0,0,0,-3,0,0,0,25,100,125,205,-3,16,-3,0,0,0
9158A,2002,9,0,11,19,0,0,0,0,30,12,0,0,0,0,0,9,7,7,-3,0,90,2,0,0,0,0,0,0,0,0,35,NA
9158A,2002,10,46,28,0,0,0,0,0,65,315,151,9,0,0,0,-3,6,-3,0,0,0,25,0,0,7,0,0,0,0,-3,45,0
9158A,2002,11,0,0,0,-3,14,114,28,6,8,0,-3,0,47,82,0,0,0,0,25,74,37,75,0,40,0,0,0,-3,100,62,NA
9158A,2002,12,125,274,128,144,180,50,20,0,25,-3,4,0,-4,120,0,-3,10,-3,20,0,0,0,0,0,-4,-4,58,0,0,4,25
9158A,2003,1,18,50,-4,-4,-4,164,45,-3,25,10,0,0,0,0,0,0,0,-4,80,45,4,60,6,0,0,0,0,25,235,280,210
9158A,2003,2,0,0,15,182,22,5,0,0,-3,0,-3,0,15,4,0,0,5,7,-3,2,0,0,0,5,175,-3,0,6,NA,NA,NA
9158A,2003,3,5,10,0,0,115,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,3,0,0,-3,-3,31,-4,-4,68,0
9158A,2003,4,0,122,14,0,0,0,0,0,35,14,-3,-3,-3,15,15,0,0,0,20,35,0,0,-3,0,22,0,0,10,0,0,NA
9158A,2003,5,0,0,0,145,205,560,220,-3,0,0,0,0,-3,0,0,0,0,0,30,0,0,0,-3,17,0,0,0,0,0,-3,80
9158A,2003,6,86,0,0,87,0,0,155,0,0,0,15,10,0,0,40,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,NA
9158A,2003,7,0,0,0,0,0,0,0,0,0,0,0,0,22,90,5,0,0,0,0,0,0,0,-3,0,0,0,4,0,0,0,0
9158A,2003,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-3,0,14,0,0,0,0,0,0,0,0,71,0,0,156
9158A,2003,9,44,48,207,113,-3,-3,-3,120,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,58,18,NA
9158A,2003,10,13,72,0,0,32,0,0,-3,0,0,6,20,67,0,23,-3,0,10,95,32,0,48,9,0,30,35,-3,100,99,95,45
9158A,2003,11,80,0,0,0,25,-3,0,-3,-3,-3,-3,14,-3,0,-4,294,0,0,0,0,0,-4,77,-3,0,60,0,0,-4,17,NA
9158A,2003,12,8,-3,13,5,85,0,0,0,0,0,5,0,0,15,-3,0,0,20,25,0,0,25,0,0,0,0,74,56,80,26,20
9158A,2004,1,-4,-4,-4,394,0,0,0,0,0,0,0,0,0,13,-3,-4,-4,337,0,0,0,11,-4,-4,202,90,165,9,0,12,0
9158A,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-3,17,-4,-4,71,0,-3,19,23,-4,230,55,NA,NA
9158A,2004,3,0,0,0,15,16,0,0,0,5,15,-3,30,0,0,0,0,0,0,0,0,-3,32,50,0,0,-4,-4,24,121,61,0
9158A,2004,4,15,0,0,0,0,-3,0,-4,-4,-4,-4,110,-3,0,0,-4,-4,122,0,0,146,26,0,0,0,0,255,113,87,0,NA
9158A,2004,5,-4,158,37,92,95,42,-3,0,42,72,23,20,0,0,0,0,0,0,0,0,0,88,0,50,22,-3,0,-4,12,0,0
9158A,2004,6,0,0,0,0,0,0,115,-4,95,7,0,0,0,0,0,0,0,40,42,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2004,7,0,0,0,0,19,235,0,0,0,25,0,0,0,0,5,0,80,0,0,0,0,0,0,0,0,0,0,47,0,0,0
9158A,2004,8,25,195,11,0,0,0,30,15,55,-3,-3,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2004,9,87,67,-4,-4,245,190,-4,-4,378,0,0,0,0,-3,-3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2004,10,0,0,0,0,0,0,0,0,0,0,0,9,20,0,-4,69,0,7,27,-3,130,-4,-4,6,76,5,9,1,0,0,141
9158A,2004,11,90,0,0,-3,0,0,0,50,85,235,166,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,NA
9158A,2004,12,59,8,21,0,0,0,0,0,0,0,0,0,0,0,0,-3,38,0,87,35,12,0,0,120,90,30,-4,-4,76,0,0
9158A,2005,1,-4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,93,0,0,0,2,40,160,48,16,20,0,0,6
9158A,2005,2,14,0,0,0,-4,101,0,0,0,0,0,0,80,120,35,62,18,0,-4,200,50,-3,0,0,0,0,-3,0,NA,NA,NA
9158A,2005,3,0,0,-4,35,-4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,10,-3,0,0,-4,29,0,0,33,0,0
9158A,2005,4,-3,-3,3,2,0,0,30,-4,-4,173,7,0,0,40,-4,-4,80,8,20,37,39,0,-4,22,0,0,0,0,0,0,NA
9158A,2005,5,0,0,0,0,-3,0,0,0,90,12,60,0,90,0,0,130,45,0,0,0,0,0,0,0,0,0,0,0,34,0,0
9158A,2005,6,0,0,0,0,0,0,0,0,0,0,20,82,5,0,0,0,0,0,0,36,5,-3,0,150,0,0,0,0,0,0,NA
9158A,2005,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2005,8,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,164,0,0,0,96,0,0,0,0,0,0,1,0,0,0,19
9158A,2005,9,0,0,0,0,0,27,0,-4,-4,-4,-4,39,0,0,0,-4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2005,10,0,-3,0,0,0,0,0,0,-3,-3,-4,294,228,-3,0,0,38,63,0,-3,0,49,0,0,0,0,0,-4,-4,149,0
9158A,2005,11,80,0,22,9,0,0,0,154,111,0,0,-4,394,64,264,53,0,0,0,0,0,0,-3,0,-4,182,0,-3,75,6,NA
9158A,2005,12,43,-4,-4,27,-4,29,0,64,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,45,-4,-4,-4,-4,335
9158A,2006,1,-4,75,33,-4,-4,-4,-4,-4,88,0,0,0,0,0,2,0,5,-3,-3,0,0,0,-3,0,0,-3,-3,0,0,12,0
9158A,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,44,48,15,24,12,0,-4,226,0,0,NA,NA,NA
9158A,2006,3,0,0,-3,-4,190,19,0,0,50,-4,170,0,0,0,0,0,0,-4,95,5,23,-3,5,0,0,0,-3,0,0,0,0
9158A,2006,4,0,0,0,-3,6,60,0,0,180,10,0,0,0,-4,-4,-4,349,12,38,7,-4,79,0,0,0,0,0,0,0,0,NA
9158A,2006,5,0,0,0,0,-4,133,0,0,0,0,34,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2006,6,0,0,0,0,0,0,0,60,0,0,0,0,0,0,17,-4,-4,460,315,-3,0,0,-4,370,0,9,0,0,0,0,NA
9158A,2006,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,-3,0,0,62,26,0,0,0,0,0,33,0,59,0,0,0,0
9158A,2006,8,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,6,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2006,9,0,0,0,0,0,0,0,0,-4,30,180,12,72,86,-4,10,0,0,0,0,28,0,0,26,0,0,0,0,0,20,NA
9158A,2006,10,0,17,14,-3,0,-3,-3,0,0,-3,-3,48,0,0,0,-3,46,20,50,-4,-4,51,12,0,0,-3,0,0,0,0,0
9158A,2006,11,0,0,-4,80,0,0,-3,0,0,0,0,0,0,0,0,40,0,0,12,26,224,-3,-3,0,-4,13,0,40,0,0,NA
9158A,2006,12,0,-4,40,0,0,-4,-4,-4,130,0,-3,25,0,0,0,-3,9,0,7,-3,0,0,0,0,0,0,0,0,0,0,0
9158A,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,78,91,53,0,0,0,10,90,8
9158A,2007,2,0,0,0,37,13,-3,43,132,0,0,49,50,4,70,0,-4,-4,335,5,85,-3,0,-4,-4,70,5,10,0,NA,NA,NA
9158A,2007,3,0,0,0,0,0,-3,438,10,2,0,0,0,0,0,0,0,0,0,240,-4,650,55,-4,50,0,20,52,18,18,-4,50
9158A,2007,4,33,0,28,0,0,0,0,0,8,0,41,190,9,0,0,0,0,0,0,80,0,0,0,0,-4,-4,75,-4,23,143,NA
9158A,2007,5,-4,-4,143,25,17,0,0,0,0,0,0,0,0,2,7,0,0,0,-4,-4,49,27,2,185,2,-4,41,0,0,0,10
9158A,2007,6,0,5,0,0,2,0,0,-4,-4,90,0,0,0,3,0,-4,71,0,0,65,0,0,0,0,0,0,0,0,0,0,NA
9158A,2007,7,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0
9158A,2007,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,5,76,26,15,22,23,0,0,0,12,0,0
9158A,2007,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,30,2,0,0,30,12,0,0,2,4,1,0,0,0,NA
9158A,2007,10,0,40,15,225,0,60,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
9158A,2007,11,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,4,0,43,50,0,38,0,11,0,0,0,0,0,10,NA
9158A,2007,12,10,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,16,0,0,9,0,0,0,13,0,0,0,0,0,0,0
9158A,2008,1,0,7,10,0,1,0,0,5,9,3,0,115,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
9158A,2008,2,-4,-4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,-4,-4,123,0,NA,NA
9158A,2008,3,0,0,0,200,55,-3,-4,-4,30,-3,-3,0,0,0,0,0,30,15,-4,-4,-4,-4,480,-3,19,118,0,-4,-4,35,20
9158A,2008,5,0,0,0,155,0,-4,145,-4,100,-4,555,5,40,5,30,-4,-4,113,4,0,165,32,-4,-4,137,30,27,29,0,-4,445
9158A,2008,6,148,125,24,2,-3,-4,-4,-4,293,0,78,0,-4,-4,13,43,0,0,0,0,0,0,230,0,0,5,0,0,0,0,NA
9158A,2008,7,0,22,0,0,0,0,0,0,0,0,-4,170,0,0,0,0,0,0,22,0,0,0,35,0,0,0,0,0,0,0,0
9158A,2008,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0
9158A,2008,9,0,0,0,0,-4,-4,-4,-4,300,0,0,0,-3,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2008,10,0,0,10,0,0,0,160,15,-3,0,32,0,0,3,0,0,0,6,0,0,175,15,-3,0,0,0,140,60,65,35,NA
9158A,2008,11,-4,-4,590,-4,37,-4,-4,-4,22,0,66,40,29,0,0,0,0,13,0,0,-4,-4,155,-3,169,0,-3,0,0,0,NA
9158A,2008,12,140,-3,34,2,-4,-4,-4,260,126,56,0,0,-4,135,62,33,83,6,0,0,0,0,0,-4,-4,-4,-4,45,0,0,0
9158A,2009,1,0,-4,-4,-4,55,0,10,30,0,0,0,-3,20,0,0,0,0,2,8,20,43,25,3,3,3,360,180,85,3,-4,28
9158A,2009,2,0,33,6,0,38,-4,-4,180,-3,30,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,28,NA,NA,NA
9158A,2009,3,0,0,0,95,247,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2009,4,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2009,5,0,0,0,0,0,0,0,-4,-4,204,4,0,0,0,0,0,0,0,0,2,0,-4,-4,134,8,6,0,0,0,0,0
9158A,2009,6,0,0,0,0,0,0,0,32,0,0,0,0,0,-4,55,33,0,70,0,0,0,0,0,0,0,0,0,13,0,80,NA
9158A,2009,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9158A,2009,8,0,0,0,0,0,0,0,-4,19,0,0,0,0,0,-4,14,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
9158A,2009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,160,-3,-4,85,-3,0,0,0,0,0,0,0,0,56,NA
9158A,2009,10,0,0,0,0,0,0,-3,-3,0,0,0,0,-3,0,0,0,0,0,0,0,-4,235,0,-3,-3,0,0,0,0,0,93
9158A,2009,11,0,0,0,-3,0,0,-4,-4,520,17,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,65,36,NA
9158A,2009,12,0,0,77,2,-4,-4,-3,0,0,0,0,0,0,-4,15,160,4,10,-4,-4,11,20,46,0,-4,-4,125,53,0,0,0
9158A,2010,4,0,0,0,0,0,9,0,0,0,0,0,0,0,2,-4,-4,-4,-4,-4,36,-4,55,0,0,0,0,0,NA,NA,NA,NA
9158A,2010,5,-4,-4,345,-4,150,110,-4,-4,35,-4,-4,141,0,-4,-4,96,-3,0,0,0,0,0,0,115,0,0,-4,41,0,0,0
9158A,2010,6,0,0,0,0,0,27,0,-3,87,1,65,65,0,32,89,235,-4,-4,-4,34,0,0,0,0,0,0,0,0,0,0,NA
9158A,2010,7,0,295,65,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,5,25,3,0,0,0,0,0,0,0,0,0
9158A,2010,8,0,-3,0,-3,0,-3,0,0,0,0,0,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2010,9,0,3,0,4,0,-3,-4,25,0,0,0,0,0,0,-4,-4,182,28,0,-3,0,0,0,0,-4,-4,35,0,0,0,NA
9158A,2010,10,0,-4,-4,45,0,0,0,12,-4,-4,-4,140,0,0,4,-4,11,0,0,0,0,0,-4,-4,62,0,0,0,NA,NA,NA
9158A,2010,11,-4,270,0,0,0,0,70,-3,45,40,0,0,0,32,-4,42,-4,-4,-4,-4,-4,-4,173,0,0,0,0,8,0,0,NA
9158A,2010,12,-4,-4,-4,-4,-4,-4,-4,-4,215,0,-4,-4,-4,-4,-4,-4,19,-4,-4,25,25,14,0,-4,-4,72,0,NA,0,0,0
9158A,2011,1,0,0,0,35,0,23,0,-4,-4,3,-3,0,0,0,0,0,-3,4,11,0,0,0,0,0,0,0,-3,-3,-4,-4,95
9158A,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,-4,15,-4,35,0,0,41,-4,-4,-4,290,5,0,-4,-4,135,NA,NA,NA
9158A,2011,3,-4,-4,-4,145,0,0,5,0,0,5,0,0,0,-4,-4,1130,-3,0,0,0,0,0,10,12,-4,-4,-4,75,0,0,0
9158A,2011,6,-4,-4,-4,-4,-4,300,171,-4,-4,-4,-4,-4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,NA
9158A,2011,7,0,-4,90,0,0,0,0,0,0,0,0,0,125,0,0,-4,6,84,19,3,0,0,0,0,0,0,0,0,0,0,0
9158A,2011,8,20,0,0,0,0,-3,-3,0,0,0,0,0,-3,0,0,0,0,0,0,0,6,0,0,0,0,-3,0,0,0,0,0
9158A,2011,9,-4,-4,-4,-4,440,1,0,0,0,0,0,0,0,0,0,0,-4,-4,-3,0,0,0,0,40,0,0,0,0,0,0,NA
9158A,2011,10,0,0,0,0,0,0,-4,-4,30,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,-4,30,56,0,NA,NA,NA
9158A,2011,12,-4,85,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,6,0,0,-4,-4,241,3,4,0,0,0,0,0,0,0,43,6,0,0
9158A,2012,1,6,0,0,0,-4,-4,-4,-4,9,0,0,0,0,-4,63,51,0,0,0,-4,-4,-4,-3,0,0,-4,2,-4,-4,125,0
9158A,2012,3,-4,-4,35,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,55,38,0,0,0,0,0,0,0,0,0
9158A,2012,4,0,12,3,-4,-4,-4,-4,-4,95,25,85,20,-4,-4,209,5,34,-3,0,3,0,0,0,14,0,0,0,0,0,0,NA
9158A,2012,5,0,0,-3,9,-4,20,0,0,0,0,0,0,0,0,0,0,0,-4,-4,110,0,0,0,0,0,0,0,0,0,0,0
9158A,2012,6,-4,-4,56,0,0,0,0,0,0,0,42,23,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,NA
9158A,2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,195,-4,-4,310,0,0
9158A,2012,8,0,0,-4,-4,120,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,45,0,0,0,0,0,0,0,0,0,0,0
9158A,2012,9,0,0,0,0,0,0,0,0,0,-4,-4,-4,17,0,0,0,0,-4,-4,6,-4,-4,-4,99,30,3,0,NA,NA,NA,NA
9158A,2012,10,325,0,0,0,0,0,0,-3,92,0,-4,-4,-4,-4,270,-3,-3,65,-4,-4,-4,260,-3,0,-4,50,-4,-4,140,NA,NA
9158A,2012,11,-4,-4,-4,-4,115,11,0,-4,-4,-4,115,0,0,0,0,-4,-4,25,0,0,0,0,-4,-4,-4,78,12,101,208,60,NA
9158A,2012,12,0,0,0,66,0,-4,-4,-4,-4,54,0,0,0,-4,-4,54,0,0,9,-3,0,0,0,0,0,0,0,0,0,0,0
9158A,2013,1,42,6,0,0,0,0,0,0,3,0,-4,-4,-4,160,264,-4,270,-4,-4,-4,230,19,40,-4,14,-4,-4,160,0,5,0
9158A,2013,2,-4,-4,-4,428,-4,273,-4,-4,-4,-4,317,18,-4,70,-4,-4,4,0,0,0,23,-4,-4,-4,115,52,11,3,NA,NA,NA
9158A,2013,3,0,0,0,80,0,0,-3,60,-4,-4,8,54,38,62,-4,-4,105,0,-4,6,0,30,0,-4,-4,140,NA,NA,NA,NA,NA
9158A,2013,4,210,9,2,25,-4,-4,105,0,0,0,0,0,-4,-4,7,0,0,0,-3,0,0,0,0,-4,-4,-4,-4,-4,406,160,NA
9158A,2013,5,46,8,0,0,0,0,0,-3,2,0,0,-4,55,0,14,22,-4,-4,242,-3,17,2,-4,-4,-4,51,52,28,70,NA,NA
9158A,2013,6,-4,60,0,0,0,0,-4,-4,-4,420,0,-3,0,0,0,0,-4,-4,323,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2013,7,-3,0,0,0,0,0,0,0,7,0,0,-4,-4,9,65,22,0,-4,-4,-4,250,12,0,0,0,0,-3,0,0,0,0
9158A,2013,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2013,9,0,0,0,0,109,-4,-4,-4,166,0,-4,-4,-4,1,0,0,0,0,0,0,0,0,0,0,10,-4,-4,-4,56,10,NA
9158A,2013,10,47,6,70,20,0,0,2,0,0,1,0,0,0,21,-3,-3,0,0,0,-3,-4,-4,-4,-4,80,-4,8,3,14,-3,0
9158A,2013,11,0,0,18,88,2,0,-3,-3,-3,-3,4,3,-3,-3,135,-4,318,50,97,32,170,-4,-4,77,-3,0,0,0,-4,62,NA
9158A,2013,12,NA,0,0,0,0,0,0,0,0,0,0,0,-4,-4,20,0,-4,-4,-4,80,0,0,0,-4,156,0,10,0,0,0,0
9158A,2014,1,3,13,0,107,-3,0,0,-3,0,0,0,0,14,42,6,0,-4,-4,12,52,35,20,10,-4,-4,230,15,4,25,-4,75
9158A,2014,2,-4,15,0,21,0,5,55,-4,88,-3,-3,0,0,0,0,0,0,-4,3,-3,4,0,0,0,4,-4,15,NA,NA,NA,NA
9158A,2014,3,-4,-4,410,-4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,-4,400,0,-4,-4,10
9158A,2014,4,5,-3,20,0,0,0,0,0,0,-4,27,0,0,0,0,-4,-4,-4,-4,-4,295,0,0,-4,-4,-4,148,-3,5,0,NA
9158A,2014,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-4,-4,130,-4,-4,-4,90,20,40,0,-3,-3
9158A,2014,6,-4,70,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,-4,-4,130,160,620,0,0,0,0,0,0,NA
9158A,2014,7,3,55,84,-4,-4,27,0,0,0,0,-3,0,0,0,0,0,0,0,-4,-4,36,-4,32,0,0,0,0,0,0,0,NA
9158A,2014,8,-3,-3,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,130,0,0,20,-3,0,0,0,0,0,0,0,0,0
9158A,2014,9,0,0,0,0,0,-4,-4,-4,-4,50,0,0,-4,-4,60,7,7,-4,-4,-4,-4,-4,-4,324,-4,-4,-4,-4,60,0,NA
9158A,2014,10,0,0,0,0,0,0,-4,-4,-4,130,-4,40,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2014,11,-4,10,80,-4,275,0,0,0,0,0,-4,25,5,72,-4,-4,60,-3,0,0,0,0,0,16,-4,30,3,60,420,140,NA
9158A,2014,12,90,78,30,0,-4,-4,-4,321,-4,19,-4,-4,-4,125,0,89,3,0,0,0,0,0,0,0,0,-4,-4,305,0,0,0
9158A,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,0,0,0,90,7,18,88,-4,-4,94,3,13,11,-4,270,132
9158A,2015,2,11,105,32,-4,-4,90,-4,40,0,0,0,0,-4,-4,185,-4,65,25,2,-4,-4,270,-4,350,190,30,25,-3,NA,NA,NA
9158A,2015,3,0,0,17,0,0,-4,-4,6,0,0,0,0,-4,-4,27,0,0,85,3,-4,-4,-4,660,78,30,27,0,0,0,0,0
9158A,2015,4,0,0,0,0,0,0,0,0,-3,-4,-4,25,0,0,0,0,-4,29,0,0,0,-3,15,-4,-4,42,0,-4,-4,60,NA
9158A,2015,5,-4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,0,0,5,18,0,0,0,0,0,0,0,0,0,0
9158A,2015,6,0,0,0,0,0,0,0,-4,216,257,20,3,165,66,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,NA
9158A,2015,7,-3,0,-4,90,0,0,0,0,0,0,0,0,0,0,0,0,-4,35,0,0,135,0,0,0,0,0,0,0,4,0,0
9158A,2015,8,-4,-4,-4,-4,170,0,-4,-4,-4,16,13,0,0,-4,-4,-4,85,0,0,0,5,0,0,0,0,0,0,0,0,70,40
9158A,2015,9,-4,-4,-4,241,0,0,0,0,0,0,0,0,10,0,-3,5,50,5,0,0,0,0,0,0,0,0,0,0,130,20,NA
9158A,2015,10,0,0,0,0,29,0,0,6,0,-4,-4,130,0,0,0,0,-4,-4,310,0,0,0,0,0,-3,0,5,6,3,0,0
9158A,2015,11,9,70,-3,12,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-4,398,45,-4,-4,134,12,0,0,0,NA
9158A,2015,12,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2016,1,-4,-4,215,145,0,0,0,-4,-4,250,-3,0,4,35,0,-4,55,33,-3,0,-3,-4,NA,-3,0,0,0,115,-4,-4,NA
9158A,2016,2,5,6,10,0,-4,-4,30,-4,-4,-4,240,-4,-4,242,60,-3,35,-4,-4,-4,20,0,0,-4,-4,-4,-4,490,-3,NA,NA
9158A,2016,3,0,0,0,-4,-4,140,63,-4,260,130,-4,-4,10,29,0,0,0,-4,-4,50,-3,-3,-4,-4,-4,6,-4,NA,0,0,221
9158A,2016,5,0,0,0,0,0,-4,-4,-4,-4,85,23,0,0,0,0,0,0,0,0,0,0,55,-3,0,0,0,-4,-4,82,10,0
9158A,2016,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,20,-4,30,0,0,0,0,0,-4,-4,50,0,0,0,0,NA
9158A,2016,7,0,0,0,25,0,145,-4,-4,-4,10,0,0,0,0,0,0,0,0,0,-4,20,-4,-4,-3,0,0,0,0,15,0,0
9158A,2016,8,0,0,0,0,0,0,0,0,-3,0,0,0,0,-4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0
9158A,2016,9,0,0,0,0,0,0,0,0,0,0,0,35,-4,45,-4,-4,-4,188,0,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2016,10,0,0,0,0,0,0,0,0,0,0,0,38,49,-4,-4,5,0,0,-3,0,0,0,0,0,47,0,0,0,0,0,0
9158A,2016,11,0,0,0,-4,-4,201,-4,92,0,0,0,-4,20,0,0,0,0,0,-3,-3,0,-4,-4,430,0,0,0,0,0,0,NA
9158A,2016,12,0,0,-4,19,0,-4,-4,-4,-4,-4,2,0,0,0,0,35,-4,-4,25,-4,-4,30,0,0,0,0,0,0,0,0,0
9158A,2017,1,0,0,0,0,0,0,0,0,-4,-4,-4,380,-4,-4,285,185,0,0,0,5,0,0,0,0,0,2,-4,-4,12,0,0
9158A,2017,2,-4,-4,-4,-4,-4,238,-4,-4,-4,-4,-4,255,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,0,50,NA,NA,NA
9158A,2017,3,0,0,-4,-4,65,0,0,0,0,0,-4,170,4,0,0,0,0,0,0,0,0,2,1,-4,-4,240,6,0,0,0,0
9158A,2017,4,0,0,0,7,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,25,10,0,0,0,44,NA
