INDICATIVO,year,month,day,HUMAX,HUMIN
2017Y,2009,7,24,90,25
2017Y,2009,7,25,86,20
2017Y,2009,7,26,83,14
2017Y,2009,7,27,83,13
2017Y,2009,7,28,86,12
2017Y,2009,7,29,70,11
2017Y,2009,7,30,85,15
2017Y,2009,7,31,84,17
2017Y,2009,8,1,83,32
2017Y,2009,8,2,89,26
2017Y,2009,8,3,81,24
2017Y,2009,8,4,83,20
2017Y,2009,8,5,83,18
2017Y,2009,8,6,93,23
2017Y,2009,8,7,92,67
2017Y,2009,8,8,94,43
2017Y,2009,8,9,95,77
2017Y,2009,8,10,93,44
2017Y,2009,8,11,94,35
2017Y,2009,8,12,88,32
2017Y,2009,8,13,87,34
2017Y,2009,8,14,90,29
2017Y,2009,8,15,85,24
2017Y,2009,8,16,69,22
2017Y,2009,8,17,68,19
2017Y,2009,8,18,71,16
2017Y,2009,8,19,64,18
2017Y,2009,8,20,85,20
2017Y,2009,8,21,90,20
2017Y,2009,8,22,84,23
2017Y,2009,8,23,79,15
2017Y,2009,8,24,72,19
2017Y,2009,8,25,92,49
2017Y,2009,8,26,94,25
2017Y,2009,8,27,87,19
2017Y,2009,8,28,89,56
2017Y,2009,8,29,89,17
2017Y,2009,8,30,52,15
2017Y,2009,8,31,92,33
2017Y,2009,9,1,95,36
2017Y,2009,9,2,95,21
2017Y,2009,9,3,68,30
2017Y,2009,9,4,88,51
2017Y,2009,9,5,84,20
2017Y,2009,9,6,75,40
2017Y,2009,9,7,92,51
2017Y,2009,9,8,96,37
2017Y,2009,9,9,77,21
2017Y,2009,9,10,66,20
2017Y,2009,9,11,74,29
2017Y,2009,9,12,95,22
2017Y,2009,9,13,97,45
2017Y,2009,9,14,88,46
2017Y,2009,9,15,84,40
2017Y,2009,9,16,93,59
2017Y,2009,9,17,97,51
2017Y,2009,9,18,98,66
2017Y,2009,9,19,98,44
2017Y,2009,9,20,92,68
2017Y,2009,9,21,94,67
2017Y,2009,9,22,91,44
2017Y,2009,9,23,91,32
2017Y,2009,9,24,81,35
2017Y,2009,9,25,83,44
2017Y,2009,9,26,87,34
2017Y,2009,9,27,96,46
2017Y,2009,9,28,95,52
2017Y,2009,9,29,91,46
2017Y,2009,9,30,93,51
2017Y,2009,10,1,94,60
2017Y,2009,10,2,88,54
2017Y,2009,10,3,96,28
2017Y,2009,10,4,85,34
2017Y,2009,10,5,89,25
2017Y,2009,10,6,80,32
2017Y,2009,10,7,79,41
2017Y,2009,10,8,97,52
2017Y,2009,10,9,96,41
2017Y,2009,10,10,94,52
2017Y,2009,10,11,95,63
2017Y,2009,10,12,89,55
2017Y,2009,10,13,79,10
2017Y,2009,10,14,68,28
2017Y,2009,10,15,75,13
2017Y,2009,10,16,74,9
2017Y,2009,10,17,49,12
2017Y,2009,10,18,43,8
2017Y,2009,10,19,61,13
2017Y,2009,10,20,98,52
2017Y,2009,10,21,98,60
2017Y,2009,10,22,100,60
2017Y,2009,10,23,99,56
2017Y,2009,10,24,99,50
2017Y,2009,10,25,96,52
2017Y,2009,10,26,99,30
2017Y,2009,10,27,98,43
2017Y,2009,10,28,95,41
2017Y,2009,10,29,88,39
2017Y,2009,10,30,93,37
2017Y,2009,10,31,91,39
2017Y,2009,11,1,94,57
2017Y,2009,11,2,93,58
2017Y,2009,11,3,97,36
2017Y,2009,11,4,93,47
2017Y,2009,11,5,90,53
2017Y,2009,11,6,98,80
2017Y,2009,11,7,98,57
2017Y,2009,11,8,95,63
2017Y,2009,11,9,93,81
2017Y,2009,11,10,95,73
2017Y,2009,11,11,98,53
2017Y,2009,11,12,97,52
2017Y,2009,11,13,98,57
2017Y,2009,11,14,84,53
2017Y,2009,11,15,99,49
2017Y,2009,11,16,96,52
2017Y,2009,11,17,92,42
2017Y,2009,11,18,98,63
2017Y,2009,11,19,94,47
2017Y,2009,11,20,98,46
2017Y,2009,11,21,88,55
2017Y,2009,11,22,95,51
2017Y,2009,11,23,96,55
2017Y,2009,11,24,88,24
2017Y,2009,11,25,98,56
2017Y,2009,11,26,100,93
2017Y,2009,11,27,98,72
2017Y,2009,11,28,90,64
2017Y,2009,11,29,97,79
2017Y,2009,11,30,96,62
2017Y,2009,12,1,98,51
2017Y,2009,12,2,100,76
2017Y,2009,12,3,97,76
2017Y,2009,12,4,97,68
2017Y,2009,12,5,98,76
2017Y,2009,12,6,100,72
2017Y,2009,12,7,100,64
2017Y,2009,12,8,95,57
2017Y,2009,12,9,93,52
2017Y,2009,12,10,95,41
2017Y,2009,12,11,84,26
2017Y,2009,12,12,87,15
2017Y,2009,12,13,87,71
2017Y,2009,12,14,88,68
2017Y,2009,12,15,87,72
2017Y,2009,12,16,98,51
2017Y,2009,12,17,100,53
2017Y,2009,12,18,93,70
2017Y,2009,12,19,90,53
2017Y,2009,12,20,92,55
2017Y,2009,12,21,100,79
2017Y,2009,12,22,100,68
2017Y,2009,12,23,100,82
2017Y,2009,12,24,100,69
2017Y,2009,12,25,96,51
2017Y,2009,12,26,100,79
2017Y,2009,12,27,98,54
2017Y,2009,12,28,100,92
2017Y,2009,12,29,100,86
2017Y,2009,12,30,100,85
2017Y,2009,12,31,99,78
2017Y,2010,1,1,96,67
2017Y,2010,1,2,97,79
2017Y,2010,1,3,100,96
2017Y,2010,1,4,100,93
2017Y,2010,1,5,100,81
2017Y,2010,1,6,93,59
2017Y,2010,1,7,92,79
2017Y,2010,1,8,94,72
2017Y,2010,1,9,91,75
2017Y,2010,1,10,93,51
2017Y,2010,1,11,99,63
2017Y,2010,1,12,100,73
2017Y,2010,1,13,100,68
2017Y,2010,1,14,100,74
2017Y,2010,1,15,98,60
2017Y,2010,1,16,100,74
2017Y,2010,1,17,100,77
2017Y,2010,1,18,100,95
2017Y,2010,1,19,100,76
2017Y,2010,1,20,98,52
2017Y,2010,1,21,98,64
2017Y,2010,1,22,98,55
2017Y,2010,1,23,99,82
2017Y,2010,1,24,99,84
2017Y,2010,1,25,96,74
2017Y,2010,1,26,96,60
2017Y,2010,1,27,92,45
2017Y,2010,1,28,93,55
2017Y,2010,1,29,96,65
2017Y,2010,1,30,93,56
2017Y,2010,1,31,99,62
2017Y,2010,2,1,96,64
2017Y,2010,2,2,83,38
2017Y,2010,2,3,80,31
2017Y,2010,2,4,100,74
2017Y,2010,2,5,93,63
2017Y,2010,2,6,85,54
2017Y,2010,2,7,95,68
2017Y,2010,2,8,97,89
2017Y,2010,2,9,94,77
2017Y,2010,2,10,84,64
2017Y,2010,2,11,92,71
2017Y,2010,2,12,90,72
2017Y,2010,2,13,93,73
2017Y,2010,2,14,92,63
2017Y,2010,2,15,97,83
2017Y,2010,2,16,100,92
2017Y,2010,2,17,100,68
2017Y,2010,2,18,100,60
2017Y,2010,2,19,96,67
2017Y,2010,2,20,95,50
2017Y,2010,2,21,100,88
2017Y,2010,2,22,100,68
2017Y,2010,2,23,98,74
2017Y,2010,2,24,96,69
2017Y,2010,2,25,96,68
2017Y,2010,2,26,95,47
2017Y,2010,2,27,100,60
2017Y,2010,2,28,84,44
2017Y,2010,3,1,98,65
2017Y,2010,3,2,96,56
2017Y,2010,3,3,99,86
2017Y,2010,3,4,96,65
2017Y,2010,3,5,96,57
2017Y,2010,3,6,98,63
2017Y,2010,3,7,95,73
2017Y,2010,3,8,92,60
2017Y,2010,3,9,93,54
2017Y,2010,3,10,91,74
2017Y,2010,3,11,93,68
2017Y,2010,3,12,98,70
2017Y,2010,3,13,93,67
2017Y,2010,3,14,88,51
2017Y,2010,3,15,66,22
2017Y,2010,3,16,77,23
2017Y,2010,3,17,82,18
2017Y,2010,3,18,93,47
2017Y,2010,3,19,98,72
2017Y,2010,3,20,96,52
2017Y,2010,3,21,97,58
2017Y,2010,3,22,98,50
2017Y,2010,3,23,98,50
2017Y,2010,3,24,98,54
2017Y,2010,3,25,100,69
2017Y,2010,3,26,94,58
2017Y,2010,3,27,87,42
2017Y,2010,3,28,91,50
2017Y,2010,3,29,98,58
2017Y,2010,3,30,90,48
2017Y,2010,3,31,96,56
2017Y,2010,4,1,95,49
2017Y,2010,4,2,82,48
2017Y,2010,4,3,93,64
2017Y,2010,4,4,95,47
2017Y,2010,4,5,94,32
2017Y,2010,4,6,94,33
2017Y,2010,4,7,96,60
2017Y,2010,4,8,85,54
2017Y,2010,4,9,85,36
2017Y,2010,4,10,92,29
2017Y,2010,4,11,84,39
2017Y,2010,4,12,88,56
2017Y,2010,4,13,84,48
2017Y,2010,4,14,93,71
2017Y,2010,4,15,100,89
2017Y,2010,4,16,100,67
2017Y,2010,4,17,99,87
2017Y,2010,4,18,100,60
2017Y,2010,4,19,98,58
2017Y,2010,4,20,96,44
2017Y,2010,4,21,99,44
2017Y,2010,4,22,97,75
2017Y,2010,4,23,94,50
2017Y,2010,4,24,96,43
2017Y,2010,4,25,92,44
2017Y,2010,4,26,97,40
2017Y,2010,4,27,90,26
2017Y,2010,4,28,82,32
2017Y,2010,4,29,90,40
2017Y,2010,4,30,94,42
2017Y,2010,5,1,94,71
2017Y,2010,5,2,97,71
2017Y,2010,5,3,98,85
2017Y,2010,5,4,94,82
2017Y,2010,5,5,96,75
2017Y,2010,5,6,91,67
2017Y,2010,5,7,96,61
2017Y,2010,5,8,100,45
2017Y,2010,5,9,100,57
2017Y,2010,5,10,99,42
2017Y,2010,5,11,97,42
2017Y,2010,5,12,97,77
2017Y,2010,5,13,96,81
2017Y,2010,5,14,92,48
2017Y,2010,5,15,90,62
2017Y,2010,5,16,91,51
2017Y,2010,5,17,90,41
2017Y,2010,5,18,62,11
2017Y,2010,5,19,81,38
2017Y,2010,5,20,83,33
2017Y,2010,5,21,78,24
2017Y,2010,5,22,82,36
2017Y,2010,5,23,91,41
2017Y,2010,5,24,96,48
2017Y,2010,5,25,98,38
2017Y,2010,5,26,96,36
2017Y,2010,5,27,95,42
2017Y,2010,5,28,96,70
2017Y,2010,5,29,98,49
2017Y,2010,5,30,96,47
2017Y,2010,5,31,86,51
2017Y,2010,6,1,88,48
2017Y,2010,6,2,83,37
2017Y,2010,6,3,74,27
2017Y,2010,6,4,74,32
2017Y,2010,6,5,79,34
2017Y,2010,6,6,95,66
2017Y,2010,6,7,96,38
2017Y,2010,6,8,91,51
2017Y,2010,6,9,99,81
2017Y,2010,6,10,95,59
2017Y,2010,6,11,97,70
2017Y,2010,6,12,98,72
2017Y,2010,6,13,94,62
2017Y,2010,6,14,94,72
2017Y,2010,6,15,95,72
2017Y,2010,6,16,94,76
2017Y,2010,6,17,95,68
2017Y,2010,6,18,98,56
2017Y,2010,6,19,91,53
2017Y,2010,6,20,93,53
2017Y,2010,6,21,83,38
2017Y,2010,6,22,70,27
2017Y,2010,6,23,65,28
2017Y,2010,6,24,68,27
2017Y,2010,6,25,82,38
2017Y,2010,6,26,88,45
2017Y,2010,6,27,97,35
2017Y,2010,6,28,94,41
2017Y,2010,6,29,94,51
2017Y,2010,6,30,94,36
2017Y,2010,7,1,90,38
2017Y,2010,7,2,93,47
2017Y,2010,7,3,92,41
2017Y,2010,7,4,92,38
2017Y,2010,7,5,84,33
2017Y,2010,7,6,77,34
2017Y,2010,7,7,87,38
2017Y,2010,7,8,83,34
2017Y,2010,7,9,86,39
2017Y,2010,7,10,92,38
2017Y,2010,7,11,88,29
2017Y,2010,7,12,91,26
2017Y,2010,7,13,73,26
2017Y,2010,7,14,82,23
2017Y,2010,7,15,77,23
2017Y,2010,7,16,81,24
2017Y,2010,7,17,86,37
2017Y,2010,7,18,72,22
2017Y,2010,7,19,76,27
2017Y,2010,7,20,90,30
2017Y,2010,7,21,93,47
2017Y,2010,7,22,92,74
2017Y,2010,7,23,92,51
2017Y,2010,7,24,72,18
2017Y,2010,7,25,80,24
2017Y,2010,7,26,84,43
2017Y,2010,7,27,69,27
2017Y,2010,7,28,74,26
2017Y,2010,7,29,82,36
2017Y,2010,7,30,85,24
2017Y,2010,7,31,75,21
2017Y,2010,8,1,92,22
2017Y,2010,8,2,94,65
2017Y,2010,8,3,86,52
2017Y,2010,8,4,89,43
2017Y,2010,8,5,84,43
2017Y,2010,8,6,74,16
2017Y,2010,8,7,52,20
2017Y,2010,8,8,72,26
2017Y,2010,8,9,88,29
2017Y,2010,8,10,92,25
2017Y,2010,8,11,80,27
2017Y,2010,8,12,88,57
2017Y,2010,8,13,85,48
2017Y,2010,8,14,88,46
2017Y,2010,8,15,85,44
2017Y,2010,8,16,86,28
2017Y,2010,8,17,86,28
2017Y,2010,8,18,84,26
2017Y,2010,8,19,95,42
2017Y,2010,8,20,97,35
2017Y,2010,8,21,87,27
2017Y,2010,8,22,82,26
2017Y,2010,8,23,80,22
2017Y,2010,8,24,89,33
2017Y,2010,8,25,82,22
2017Y,2010,8,26,76,18
2017Y,2010,8,27,83,18
2017Y,2010,8,28,86,41
2017Y,2010,8,29,70,13
2017Y,2010,8,30,71,15
2017Y,2010,8,31,63,13
2017Y,2010,9,1,93,30
2017Y,2010,9,2,95,60
2017Y,2010,9,3,96,24
2017Y,2010,9,4,72,25
2017Y,2010,9,5,80,22
2017Y,2010,9,6,86,22
2017Y,2010,9,7,87,40
2017Y,2010,9,8,93,33
2017Y,2010,9,9,89,39
2017Y,2010,9,10,96,25
2017Y,2010,9,11,80,21
2017Y,2010,9,12,83,40
2017Y,2010,9,13,75,18
2017Y,2010,9,14,60,21
2017Y,2010,9,15,66,19
2017Y,2010,9,16,95,50
2017Y,2010,9,17,97,74
2017Y,2010,9,18,94,69
2017Y,2010,9,19,100,32
2017Y,2010,9,20,96,57
2017Y,2010,9,21,99,47
2017Y,2010,9,22,97,43
2017Y,2010,9,23,89,48
2017Y,2010,9,24,96,52
2017Y,2010,9,25,94,74
2017Y,2010,9,26,92,59
2017Y,2010,9,27,81,28
2017Y,2010,9,29,81,30
2017Y,2010,9,30,93,37
2017Y,2010,10,1,98,32
2017Y,2010,10,2,82,26
2017Y,2010,10,3,94,49
2017Y,2010,10,4,95,52
2017Y,2010,10,5,95,38
2017Y,2010,10,6,97,34
2017Y,2010,10,7,95,48
2017Y,2010,10,8,99,52
2017Y,2010,10,9,99,65
2017Y,2010,10,10,98,67
2017Y,2010,10,11,97,79
2017Y,2010,10,12,96,74
2017Y,2010,10,13,89,63
2017Y,2010,10,14,82,29
2017Y,2010,10,15,85,61
2017Y,2010,10,16,89,66
2017Y,2010,10,17,91,72
2017Y,2010,10,18,84,61
2017Y,2010,10,19,84,22
2017Y,2010,10,20,86,30
2017Y,2010,10,21,85,27
2017Y,2010,10,22,83,36
2017Y,2010,10,23,89,40
2017Y,2010,10,24,96,54
2017Y,2010,10,25,94,56
2017Y,2010,10,26,83,14
2017Y,2010,10,27,69,9
2017Y,2010,10,28,69,23
2017Y,2010,10,29,95,39
2017Y,2010,10,30,97,81
2017Y,2010,10,31,97,62
2017Y,2010,11,1,98,83
2017Y,2010,11,2,94,71
2017Y,2010,11,3,94,50
2017Y,2010,11,4,94,43
2017Y,2010,11,5,94,71
2017Y,2010,11,6,94,45
2017Y,2010,11,7,96,77
2017Y,2010,11,8,96,69
2017Y,2010,11,9,93,65
2017Y,2010,11,10,93,69
2017Y,2010,11,11,99,66
2017Y,2010,11,12,100,70
2017Y,2010,11,13,100,47
2017Y,2010,11,14,98,88
2017Y,2010,11,15,98,58
2017Y,2010,11,16,94,61
2017Y,2010,11,17,97,74
2017Y,2010,11,18,96,54
2017Y,2010,11,19,100,86
2017Y,2010,11,20,100,69
2017Y,2010,11,21,95,68
2017Y,2010,11,22,97,67
2017Y,2010,11,23,96,62
2017Y,2010,11,24,96,55
2017Y,2010,11,25,93,46
2017Y,2010,11,26,90,63
2017Y,2010,11,27,92,56
2017Y,2010,11,28,95,56
2017Y,2010,11,29,97,75
2017Y,2010,11,30,100,87
2017Y,2010,12,1,100,72
2017Y,2010,12,2,98,62
2017Y,2010,12,3,96,67
2017Y,2010,12,4,95,62
2017Y,2010,12,5,100,66
2017Y,2010,12,6,100,69
2017Y,2010,12,7,98,86
2017Y,2010,12,8,100,73
2017Y,2010,12,9,100,68
2017Y,2010,12,10,77,14
2017Y,2010,12,11,83,29
2017Y,2010,12,12,78,34
2017Y,2010,12,13,92,49
2017Y,2010,12,14,80,25
2017Y,2010,12,15,84,67
2017Y,2010,12,16,87,53
2017Y,2010,12,17,92,42
2017Y,2010,12,18,93,69
2017Y,2010,12,19,100,50
2017Y,2010,12,20,96,76
2017Y,2010,12,21,100,92
2017Y,2010,12,22,100,84
2017Y,2010,12,23,100,84
2017Y,2010,12,24,90,76
2017Y,2010,12,25,89,63
2017Y,2010,12,26,73,17
2017Y,2010,12,27,72,24
2017Y,2010,12,28,91,48
2017Y,2010,12,29,93,51
2017Y,2010,12,30,92,58
2017Y,2010,12,31,99,88
2017Y,2011,1,1,98,66
2017Y,2011,1,2,95,70
2017Y,2011,1,3,89,50
2017Y,2011,1,4,98,75
2017Y,2011,1,5,100,90
2017Y,2011,1,6,100,94
2017Y,2011,1,7,99,86
2017Y,2011,1,8,97,77
2017Y,2011,1,9,100,79
2017Y,2011,1,10,100,65
2017Y,2011,1,11,100,64
2017Y,2011,1,12,99,66
2017Y,2011,1,13,98,50
2017Y,2011,1,14,94,34
2017Y,2011,1,15,97,42
2017Y,2011,1,16,98,50
2017Y,2011,1,17,97,68
2017Y,2011,1,18,97,71
2017Y,2011,1,19,96,80
2017Y,2011,1,20,97,40
2017Y,2011,1,21,83,43
2017Y,2011,1,22,81,42
2017Y,2011,1,23,83,35
2017Y,2011,1,24,72,27
2017Y,2011,1,25,77,24
2017Y,2011,1,27,99,82
2017Y,2011,1,28,100,91
2017Y,2011,1,29,100,79
2017Y,2011,1,30,95,75
2017Y,2011,1,31,92,77
2017Y,2011,2,1,93,79
2017Y,2011,2,2,87,68
2017Y,2011,2,3,91,52
2017Y,2011,2,4,90,22
2017Y,2011,2,5,59,20
2017Y,2011,2,6,77,15
2017Y,2011,2,7,81,27
2017Y,2011,2,8,76,22
2017Y,2011,2,9,85,32
2017Y,2011,2,10,87,30
2017Y,2011,2,11,91,39
2017Y,2011,2,12,94,48
2017Y,2011,2,13,99,64
2017Y,2011,2,14,98,61
2017Y,2011,2,15,99,64
2017Y,2011,2,16,98,77
2017Y,2011,2,17,98,63
2017Y,2011,2,18,94,57
2017Y,2011,2,19,100,89
2017Y,2011,2,20,97,48
2017Y,2011,2,21,90,66
2017Y,2011,2,22,93,76
2017Y,2011,2,23,95,61
2017Y,2011,2,24,96,40
2017Y,2011,2,25,69,16
2017Y,2011,2,26,82,36
2017Y,2011,2,27,94,76
2017Y,2011,2,28,94,70
2017Y,2011,3,1,94,70
2017Y,2011,3,2,94,78
2017Y,2011,3,3,91,74
2017Y,2011,3,4,94,85
2017Y,2011,3,5,95,59
2017Y,2011,3,6,93,38
2017Y,2011,3,7,91,42
2017Y,2011,3,8,96,77
2017Y,2011,3,9,98,47
2017Y,2011,3,10,94,27
2017Y,2011,3,11,100,41
2017Y,2011,3,12,100,79
2017Y,2011,3,13,100,58
2017Y,2011,3,14,100,86
2017Y,2011,3,15,100,82
2017Y,2011,3,16,96,83
2017Y,2011,3,17,94,82
2017Y,2011,3,18,92,26
2017Y,2011,3,19,85,41
2017Y,2011,3,20,76,16
2017Y,2011,3,21,91,52
2017Y,2011,3,22,94,67
2017Y,2011,3,23,92,60
2017Y,2011,3,24,100,70
2017Y,2011,3,25,100,80
2017Y,2011,3,26,100,59
2017Y,2011,3,27,95,75
2017Y,2011,3,28,99,57
2017Y,2011,3,29,92,47
2017Y,2011,3,30,95,64
2017Y,2011,3,31,95,52
2017Y,2011,4,1,99,35
2017Y,2011,4,2,91,35
2017Y,2011,4,3,95,61
2017Y,2011,4,4,96,65
2017Y,2011,4,5,99,45
2017Y,2011,4,6,93,31
2017Y,2011,4,7,85,26
2017Y,2011,4,8,84,30
2017Y,2011,4,9,79,20
2017Y,2011,4,10,93,66
2017Y,2011,4,11,98,72
2017Y,2011,4,12,91,32
2017Y,2011,4,13,67,15
2017Y,2011,4,14,81,28
2017Y,2011,4,15,82,42
2017Y,2011,4,16,89,44
2017Y,2011,4,17,96,44
2017Y,2011,4,18,94,37
2017Y,2011,4,19,96,58
2017Y,2011,4,20,100,87
2017Y,2011,4,21,100,78
2017Y,2011,4,22,100,72
2017Y,2011,4,23,100,57
2017Y,2011,4,24,95,75
2017Y,2011,4,25,92,64
2017Y,2011,4,26,96,58
2017Y,2011,4,27,84,38
2017Y,2011,4,28,87,47
2017Y,2011,4,29,96,42
2017Y,2011,4,30,99,64
2017Y,2011,5,1,100,52
2017Y,2011,5,2,96,49
2017Y,2011,5,3,94,58
2017Y,2011,5,4,95,50
2017Y,2011,5,5,95,36
2017Y,2011,5,6,97,53
2017Y,2011,5,7,100,87
2017Y,2011,5,8,100,39
2017Y,2011,5,9,95,40
2017Y,2011,5,10,96,44
2017Y,2011,5,11,96,36
2017Y,2011,5,12,95,57
2017Y,2011,5,13,97,54
2017Y,2011,5,14,97,82
2017Y,2011,5,15,87,58
2017Y,2011,5,16,87,40
2017Y,2011,5,17,93,40
2017Y,2011,5,18,88,31
2017Y,2011,5,19,88,36
2017Y,2011,5,20,93,44
2017Y,2011,5,21,94,52
2017Y,2011,5,22,93,55
2017Y,2011,5,23,96,43
2017Y,2011,5,24,84,24
2017Y,2011,5,25,88,36
2017Y,2011,5,26,93,41
2017Y,2011,5,27,96,75
2017Y,2011,5,28,95,56
2017Y,2011,5,29,95,46
2017Y,2011,5,30,98,60
2017Y,2011,5,31,96,81
2017Y,2011,6,1,91,47
2017Y,2011,6,2,94,62
2017Y,2011,6,3,93,40
2017Y,2011,6,4,97,58
2017Y,2011,6,5,98,62
2017Y,2011,6,6,97,72
2017Y,2011,6,7,96,84
2017Y,2011,6,8,95,59
2017Y,2011,6,9,99,46
2017Y,2011,6,10,95,65
2017Y,2011,6,11,97,48
2017Y,2011,6,12,92,41
2017Y,2011,6,13,90,34
2017Y,2011,6,14,96,38
2017Y,2011,6,15,94,35
2017Y,2011,6,16,91,43
2017Y,2011,6,17,96,40
2017Y,2011,6,18,87,51
2017Y,2011,6,19,96,38
2017Y,2011,6,20,89,30
2017Y,2011,6,21,86,31
2017Y,2011,6,22,90,32
2017Y,2011,6,23,91,53
2017Y,2011,6,24,77,30
2017Y,2011,6,25,74,30
2017Y,2011,6,26,82,28
2017Y,2011,6,28,96,34
2017Y,2011,6,29,96,75
2017Y,2011,6,30,85,42
2017Y,2011,7,1,93,30
2017Y,2011,7,2,80,31
2017Y,2011,7,3,93,32
2017Y,2011,7,4,82,36
2017Y,2011,7,5,87,29
2017Y,2011,7,6,94,23
2017Y,2011,7,7,90,26
2017Y,2011,7,8,95,36
2017Y,2011,7,9,93,35
2017Y,2011,7,10,93,30
2017Y,2011,7,11,95,21
2017Y,2011,7,12,93,19
2017Y,2011,7,13,92,73
2017Y,2011,7,14,87,44
2017Y,2011,7,15,93,29
2017Y,2011,7,16,86,31
2017Y,2011,7,17,91,62
2017Y,2011,7,18,93,34
2017Y,2011,7,19,88,55
2017Y,2011,7,20,95,39
2017Y,2011,7,21,93,59
2017Y,2011,7,22,89,59
2017Y,2011,7,23,85,38
2017Y,2011,7,24,87,56
2017Y,2011,7,25,89,60
2017Y,2011,7,26,86,56
2017Y,2011,7,27,86,52
2017Y,2011,7,28,84,42
2017Y,2011,7,29,90,31
2017Y,2011,7,30,75,36
2017Y,2011,7,31,70,29
2017Y,2011,8,1,91,24
2017Y,2011,8,2,94,45
2017Y,2011,8,3,96,50
2017Y,2011,8,4,97,32
2017Y,2011,8,5,85,28
2017Y,2011,8,6,84,39
2017Y,2011,8,7,94,28
2017Y,2011,8,8,91,38
2017Y,2011,8,9,70,29
2017Y,2011,8,10,58,15
2017Y,2011,8,11,75,21
2017Y,2011,8,12,91,23
2017Y,2011,8,13,91,28
2017Y,2011,8,14,92,28
2017Y,2011,8,15,88,30
2017Y,2011,8,16,92,25
2017Y,2011,8,17,82,18
2017Y,2011,8,18,83,37
2017Y,2011,8,19,92,24
2017Y,2011,8,20,76,18
2017Y,2011,8,21,76,19
2017Y,2011,8,22,95,31
2017Y,2011,8,23,90,28
2017Y,2011,8,24,82,29
2017Y,2011,8,25,80,23
2017Y,2011,8,26,86,19
2017Y,2011,8,27,86,26
2017Y,2011,8,28,86,17
2017Y,2011,8,29,90,11
2017Y,2011,8,30,90,15
2017Y,2011,8,31,84,37
2017Y,2011,9,1,86,29
2017Y,2011,9,2,94,42
2017Y,2011,9,3,96,68
2017Y,2011,9,4,93,45
2017Y,2011,9,5,93,44
2017Y,2011,9,6,94,24
2017Y,2011,9,7,79,23
2017Y,2011,9,8,80,20
2017Y,2011,9,9,78,14
2017Y,2011,9,10,66,16
2017Y,2011,9,11,94,28
2017Y,2011,9,12,84,27
2017Y,2011,9,13,88,26
2017Y,2011,9,14,88,34
2017Y,2011,9,15,88,24
2017Y,2011,9,16,81,25
2017Y,2011,9,17,94,33
2017Y,2011,9,18,92,57
2017Y,2011,9,19,85,44
2017Y,2011,9,20,82,19
2017Y,2011,9,21,74,21
2017Y,2011,9,22,86,31
2017Y,2011,9,23,95,32
2017Y,2011,9,24,95,52
2017Y,2011,9,25,96,28
2017Y,2011,9,26,87,26
2017Y,2011,9,27,82,26
2017Y,2011,9,28,84,26
2017Y,2011,9,29,89,24
2017Y,2011,9,30,95,28
2017Y,2011,10,1,95,29
2017Y,2011,10,2,95,16
2017Y,2011,10,3,75,14
2017Y,2011,10,4,64,16
2017Y,2011,10,5,64,25
2017Y,2011,10,6,82,21
2017Y,2011,10,7,93,66
2017Y,2011,10,8,92,66
2017Y,2011,10,9,94,44
2017Y,2011,10,10,79,22
2017Y,2011,10,11,74,23
2017Y,2011,10,12,51,10
2017Y,2011,10,13,38,15
2017Y,2011,10,14,53,9
2017Y,2011,10,15,88,33
2017Y,2011,10,16,69,18
2017Y,2011,10,17,74,7
2017Y,2011,10,18,80,19
2017Y,2011,10,19,91,44
2017Y,2011,10,20,86,60
2017Y,2011,10,21,89,15
2017Y,2011,10,22,92,31
2017Y,2011,10,23,93,48
2017Y,2011,10,24,99,72
2017Y,2011,10,25,93,51
2017Y,2011,10,26,97,69
2017Y,2011,10,27,99,74
2017Y,2011,10,28,95,70
2017Y,2011,10,29,98,62
2017Y,2011,10,30,98,42
2017Y,2011,10,31,96,50
2017Y,2011,11,1,99,79
2017Y,2011,11,2,100,79
2017Y,2011,11,3,100,86
2017Y,2011,11,4,100,78
2017Y,2011,11,5,95,87
2017Y,2011,11,6,96,82
2017Y,2011,11,7,99,88
2017Y,2011,11,8,100,60
2017Y,2011,11,9,99,71
2017Y,2011,11,10,100,91
2017Y,2011,11,11,100,66
2017Y,2011,11,12,100,55
2017Y,2011,11,13,100,73
2017Y,2011,11,14,98,87
2017Y,2011,11,15,100,60
2017Y,2011,11,16,100,76
2017Y,2011,11,17,100,68
2017Y,2011,11,18,100,64
2017Y,2011,11,19,100,80
2017Y,2011,11,20,100,88
2017Y,2011,11,21,100,79
2017Y,2011,11,22,100,78
2017Y,2011,11,23,97,72
2017Y,2011,11,24,94,45
2017Y,2011,11,25,96,39
2017Y,2011,11,26,87,36
2017Y,2011,11,27,76,38
2017Y,2011,11,28,92,37
2017Y,2011,11,29,96,39
2017Y,2011,11,30,96,50
2017Y,2011,12,1,96,34
2017Y,2011,12,2,96,80
2017Y,2011,12,3,96,62
2017Y,2011,12,4,100,77
2017Y,2011,12,5,100,90
2017Y,2011,12,6,100,64
2017Y,2011,12,7,98,56
2017Y,2011,12,8,95,45
2017Y,2011,12,9,91,54
2017Y,2011,12,10,97,70
2017Y,2011,12,11,98,66
2017Y,2011,12,12,98,50
2017Y,2011,12,13,97,68
2017Y,2011,12,14,92,58
2017Y,2011,12,15,84,65
2017Y,2011,12,16,93,63
