"Date","PARday","Tmean","Tmax","Tmin"
2018-09-03,1.46478,18.4363636363636,23.6,13.6
2018-09-04,13.60758,17.7327586206897,22.6,9
2018-09-05,18.22794,16.3157894736842,23.9,6.8
2018-09-06,18.50142,14.8152542372881,21.9,7.2
2018-09-07,19.01946,16.4535714285714,22.9,4.6
2018-09-08,16.47372,16.8288461538462,23.4,8.4
2018-09-09,4.26828,14.9121212121212,16.9,12.6
2018-09-10,10.1097,15.55,18.2,10.8
2018-09-11,8.77818,13.9774193548387,15.9,10.6
