"Month","Pavg_month","Pse_month","Pnmonths","Tmean_avg_month","Tmean_se_month","Tmin_avg_month","Tmin_se_month","Tmax_avg_month","Tmax_se_month","Tnmonths"
"Apr",103.586666666667,12.9002763597812,15,7.42711111111111,0.429128668888576,2.74333333333333,0.332321639315998,12.3013333333333,0.497746647269195,15
"Aug",39.24,8.2663218054027,15,16.710956618465,0.543767980198067,10.5320197044335,0.412088959015425,23.5109010011123,0.729009256493617,14
"Dec",116.393333333333,18.9297987981828,15,2.61926310440956,0.444638933831047,-0.784973152611269,0.514955837470557,6.14282536151279,0.455756331477161,15
"Feb",130.306666666667,21.9619594638562,15,1.71081849185297,0.601164283421888,-1.91373626373626,0.620429421977434,5.36271314892005,0.688947569327149,13
"Jan",131.073333333333,20.6240323678739,15,2.35298924731183,0.402868047223088,-0.870344086021505,0.408762053520459,5.70831541218638,0.481000739119665,15
"Jul",27.5357142857143,6.96024509438715,14,16.5702489946094,0.403497859207292,10.0149396765637,0.379829196995824,23.5398990331137,0.510922084329752,13
"Jun",68.26,10.688528786463,15,14.8244444444444,0.41542490094422,8.72688888888889,0.341404268836143,21.0406666666667,0.571180268803903,15
"Mar",121.52,18.175960575913,15,5.25714285714286,0.443878344426709,1.04884792626728,0.457500971068027,9.71705069124424,0.540632816444718,14
"May",95.6266666666667,12.6055145402874,15,10.4820355951057,0.409641869780713,5.17969966629588,0.299746968175709,15.6985857301764,0.535523052250657,14
"Nov",160.046666666667,17.4080629010885,15,5.28471643299229,0.483547710891281,2.07989705696602,0.480274087570584,8.73278767209802,0.562493203704944,14
"Oct",95.3066666666667,9.61273692093522,15,10.6444249279245,0.404316502529686,6.28478411386802,0.35119268617733,15.3552200858096,0.502893982742719,14
"Sep",61.28,12.4731528835793,15,13.8354578754579,0.35594028586124,8.44274725274725,0.359307675858139,19.7582051282051,0.418061806314271,14
