"Campaign","Species","d2H_cont.mean.na","d18O_cont.mean.na","d2H_bef.mean.na","d18O_bef.mean.na","d2H_aft.mean.na","d18O_aft.mean.na","d2H_cont.s.err.na","d18O_cont.s.err.na","d2H_bef.s.err.na","d18O_bef.s.err.na","d2H_aft.s.err.na","d18O_aft.s.err.na"
"Autumn2018","Pinus sylvestris",-72.3452758325,-9.14501858925,-73.2786600322222,-8.91411872566667,130.202562218889,-9.34370353011111,0.696914023835428,0.185273760423534,1.7207587986603,0.242240887998656,59.0711862714786,0.214672548358009
"Summer2018","Pinus sylvestris",NA,NA,-100.3989134775,-12.17338928125,74.14147149,-11.637469622,NA,NA,1.19624304158484,0.121650319456738,50.466268858074,0.56557907755278
"Summer2019","Fagus sylvatica",-47.3499799494118,-5.25940007582353,-46.818778326875,-4.947378875375,78.8102491337059,-4.95877204952941,0.631079513255969,0.105391541373666,1.66031877111773,0.210091159841376,32.6593177414154,0.210196115438656
"Summer2019","Pinus sylvestris",-37.7990268138889,-5.3537153495,-39.2075658647059,-6.094658596,154.265808533889,-6.2644888375,2.67549302457857,0.247157805170431,2.71543068451811,0.32633067452804,32.9057730007474,0.40746066540289
"Winter2019","Pinus sylvestris",-53.5176846416667,-9.57216462720833,-49.052520820625,-9.07084308309375,36.9764181295,-8.76296546284375,2.96053934741827,0.235817398832345,1.67324945834643,0.295777134528746,19.3868912666113,0.208374847481147
