"Tree","d18O_befAvg","d18O_befSE","d2H_befAvg","d2H_befSE","d18O_aftAvg","d18O_aftSE","d2H_aftAvg","d2H_aftSE"
NA,NA,NA,NA,NA,-7.606599404,NA,277.8904262,NA
"1",-10.6274355236667,0.432248598742728,-58.11337507,0.821171994435696,-9.62911260883333,0.131414694163011,66.95637994,54.2510714881635
"2",-9.4397202955,0.295870066934453,-47.2150023583333,1.59140382976847,-8.828178371,0.0911017840599471,30.3414209066667,3.8618523942184
"3",-9.112462418,0.314511163278825,-51.2299638733333,3.15127034014835,-9.232417468,0.22708440338768,61.4411902633333,30.0618007237489
"4",-8.6342191345,0.0582401460000002,-51.03977156,3.12136325,-9.2683934635,0.1233856935,8.6454200035,11.6462276865
"5",-7.5689379195,0.242127303296775,-41.1702526775,1.96095523469197,-7.728433114,0.296519436346389,34.57796441625,67.4253923837204
"6",-10.050444671,NA,-48.404755395,NA,-7.687802679,NA,-40.19698093,NA
