"INDICATIVO","month","Tmean_avg_month","Tmean_se_month","Tmin_avg_month","Tmin_se_month","Tmax_avg_month","Tmax_se_month","Tnmonths"
"2017Y",1,2.61941935483871,0.310157266379249,-1.53106451612903,0.282113597642501,6.77345161290323,0.432602943919161,10
"2017Y",2,2.24115631778467,0.681097799591909,-2.16661091852663,0.431993036730124,6.64115327697703,0.986486548474536,9
"2017Y",3,4.98616129032258,0.45641673155839,-0.112064516129032,0.217246457694929,10.0860430107527,0.79461664340371,10
"2017Y",4,7.79972413793103,0.523419294937065,2.13068965517241,0.417622789198138,13.4708045977012,0.698401782107261,10
"2017Y",5,10.5153351487222,0.603534603605273,4.53477063259321,0.400815833208147,16.4981315458735,0.820105059069992,10
"2017Y",6,15.0581696223317,0.454103089185709,8.14997208538588,0.308480536610317,21.9638264367816,0.681360451301938,10
"2017Y",7,18.3665618411992,0.470344812738407,10.5490881932306,0.379437726469577,26.1971551459293,0.616660669256996,10
"2017Y",8,18.7967995624447,0.203559770471874,10.4623364210461,0.140969028787359,27.1235946252075,0.302264732690451,11
"2017Y",9,15.0736166260304,0.394745002817961,8.08558086613259,0.332093456585396,22.0623722280274,0.515767924912126,11
"2017Y",10,11.0766080156403,0.400511518594272,4.98358748778104,0.27719745771611,17.1748973607038,0.58787187212401,11
"2017Y",11,5.38757575757576,0.39538654936148,1.19181818181818,0.324460815718384,9.58,0.532567821829751,11
"2017Y",12,3.29516129032258,0.423273734610257,-1.36806451612903,0.308609062902616,7.95548387096774,0.606116127750378,10
"9158A",1,4.11348973607038,0.325717649735473,-0.570674486803519,0.372176491898035,8.7975073313783,0.330401419816127,22
"9158A",2,5.0641514875679,0.342104567460714,0.0295779593969249,0.276675333523408,10.1100558062627,0.50678911862984,22
"9158A",3,7.94925165634843,0.246036930022353,1.67152632313923,0.262275540104255,14.2206535400084,0.403832098228759,22
"9158A",4,9.94316666666667,0.299901687107333,3.60233333333333,0.281900204232276,16.2836666666667,0.429614603572015,20
"9158A",5,13.5376889239792,0.297654021967729,6.84530791788856,0.223892428352177,20.2320042860365,0.413383453878765,22
"9158A",6,17.7386363636364,0.290509219299284,10.3292424242424,0.247385358742126,25.1433333333333,0.412757651981013,22
"9158A",7,19.7566619915849,0.28535724657519,11.9102384291725,0.247805506794499,27.6008415147265,0.366254376803291,23
"9158A",8,19.8269913430382,0.248276005432968,11.8220663861618,0.180767206858954,27.8340716738405,0.359958760398797,23
"9158A",9,16.6388405797101,0.256598266872464,9.50956521739131,0.244294427747623,23.7649275362319,0.302927733400135,23
"9158A",10,12.7719495091164,0.286918963455375,6.55413744740533,0.246806334227977,18.9903225806452,0.40496054233216,23
"9158A",11,7.39040017028523,0.30088657350686,2.80465836526181,0.305958719855107,11.9713988095238,0.370095072974897,24
"9158A",12,4.13859280037401,0.297923323099244,-0.34179523141655,0.357618524934006,8.61671341748481,0.306624104167583,23
"9188",1,5.33494623655914,0.51705925357517,0.706989247311828,0.681182795698925,9.96666666666667,0.402475574469881,6
"9188",2,5.08758558318957,0.677188989965199,0.404261683914715,0.375126602989953,9.77198973119406,1.06876009637141,7
"9188",3,7.60221198156682,0.451807437959851,2.14274961597542,0.235784345210409,13.0552534562212,0.799180197594989,7
"9188",4,10.0723915343915,0.467768470519019,4.21751541689473,0.402492896137851,15.9262105455209,0.676464877684762,7
"9188",5,12.6656945358789,0.721572833767367,6.67626033208983,0.52279194586882,18.6550410845342,0.935926237493633,7
"9188",6,17.4856802721088,0.634341295556142,10.8229591836735,0.514009688715872,24.1528231292517,0.807206203623567,7
"9188",7,20.4871126648657,0.462102329004442,13.3298109010011,0.302662107003335,27.6467821388845,0.62996613673869,7
"9188",8,20.0443233222099,0.240226844709616,12.901811536628,0.140505101722712,27.1914905450501,0.381290124870493,7
"9188",9,16.767833226244,0.545478034304134,10.308310130649,0.512730743714332,23.2266523880917,0.604864384357515,7
"9188",10,13.8639784946237,0.487600264361625,7.81075268817204,0.502013059396698,19.9231182795699,0.607060673721641,6
"9188",11,8.2399061693643,0.373278473909032,3.74098639455782,0.275989167528857,12.7320408163265,0.594885298753277,7
"9188",12,6.01360994234066,0.500009385031809,0.794645472962444,0.420239544760326,11.2334393018544,0.730115161089122,6
"9287A",1,3.27133742959549,0.301491314368826,-1.51617204301075,0.362024875761462,8.06250998463902,0.388045977079975,15
"9287A",2,3.13950343611263,0.527863599833771,-1.80685519674025,0.423937012496528,8.08443927507146,0.808077220771401,15
"9287A",3,5.43030187176424,0.249404694300976,0.0331303863002788,0.244829712161605,10.8251878932696,0.51118990970779,15
"9287A",4,8.02895166271637,0.308743041984061,2.15780119227178,0.266580303143763,13.8948880988293,0.444731431002438,15
"9287A",5,11.1100716845878,0.432253932782533,4.65096296296296,0.306363632961624,17.5677275985663,0.601409343482705,15
"9287A",6,15.2180102040816,0.406792799229577,8.0675,0.277837425599784,22.3700680272109,0.617559457606156,14
"9287A",7,17.9663594470046,0.384823722441142,9.90990783410138,0.374750295442864,26.0258064516129,0.4520531353069,14
"9287A",8,17.7079599025372,0.28806193929916,9.6602534562212,0.195858662328579,25.73955453149,0.417360564310795,14
"9287A",9,14.4843349753695,0.320889845587058,7.29226600985222,0.350502760975073,21.6694170771757,0.33423744197321,14
"9287A",10,11.3549710504549,0.33302783526228,5.09377171215881,0.357195372439106,17.6181306865178,0.45308752802389,13
"9287A",11,6.35856267104543,0.340450018660443,1.67685823754789,0.434514463048123,11.0361992337165,0.407218760861484,15
