"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
1,2018-09-04 02:50:00,1536022200.573,15715.7106996337,-18.5358791208791,-142.219791208791,15871.6193677776,-17.443797252672,-133.473347542993,6.06724175824175,6.07703047838277,7.06374081134469,-0.0374390457742625
1,2018-09-08 19:46:00,1536428760.517,15881.3206373626,-18.7848424908425,-106.220501831502,16008.2716331747,-18.669043171288,-117.839354612792,44.0582380952381,31.512990757512,-1537.87285116475,-0.0304246380825566
1,2018-09-08 20:23:00,1536430980.311,15241.4577179487,-19.0252783882784,-116.331970695971,16041.7807151467,-18.7082594201915,-118.538655042784,35.8702564102564,31.1274203187475,-59.1957816946619,-0.191802773690329
1,2018-09-08 21:00:00,1536433200.065,14902.5406520147,-19.1570732600733,-123.79389010989,16067.3964288101,-18.7585841747671,-119.707519245585,29.462695970696,30.3611541525518,41.8555467168189,-0.279165593696131
1,2018-09-05 06:27:00,1536121620.49,11508.5642637363,-17.9227838827839,-143.112908424908,13233.9752262145,-17.2891223392965,-131.403543848719,0.269362637362633,6.90943486565303,51.1989981157744,-0.413096810720735
1,2018-09-07 05:23:00,1536290580.127,10432.2213992674,-17.7452454212454,-141.327483516484,12124.0442372532,-17.4197776763564,-129.182361852935,0.63447985347986,10.1758595579167,69.0104983252153,-0.405862482662742
1,2018-09-07 06:00:00,1536292800.816,10403.3701740741,-17.8480148148148,-141.056111111111,12207.9925091929,-17.432528496912,-129.11641570281,1.7280074074074,10.343812272486,60.0126020323671,-0.432922706731876
1,2018-09-08 22:09:00,1536437340.121,14626.4676666667,-19.4221208791209,-135.420377289377,16102.2750189636,-18.8714913317067,-122.794633544544,19.9565897435897,28.1772971091099,109.651285087129,-0.353687347081507
1,2018-09-05 07:41:00,1536126060.934,13591.8532600733,-16.9908827838828,-131.806435897436,13082.0222847108,-17.1467201747543,-125.93025706801,4.12062637362638,11.2435043300244,-178.649061346181,0.122063158136399
1,2018-09-06 07:46:00,1536212760.831,13570.6115481481,-15.7290592592593,-113.883462962963,12390.2317795829,-16.9206406541743,-123.939053588268,11.9490111111111,11.4260716451262,17.4382115894619,0.282886400486974
1,2018-09-08 22:46:00,1536439560.75,14496.179025641,-19.4979267399267,-136.182901098901,16120.3446582147,-18.9356757137818,-124.730802368461,19.8005128205128,26.7546033417938,88.8220052959051,-0.389242476504051
1,2018-09-06 08:23:00,1536214980.663,14073.2046190476,-15.1884835164835,-101.265172161172,12491.6144068279,-16.8976697612239,-121.835661572031,20.242695970696,13.3456965177603,74.7161348327502,0.379039144203309
