"MpNo";"DT";"MpNo_m";"CO2in_G";"CO2out_G";"H2Oin_G";"H2Oout_G";"ATP";"Tref";"Tcuv";"FlowOut";"FlowIn";"PAR";"H2O_P";"mH2O_P";"dDH_out";"d18O_out";"dDH_in";"d18O_in";"ShootID";"Area";"hour";"day";"month";"TrA";"dDH_ex";"dH2O";"dDH_ex_a"
1;2018-09-10 11:22:00;"1S";385.7;342.7;14.4;15.05;1003;16.1;16.1;533.824226732304;541.248951714672;294;19421.3984857143;19.4213984857143;-115.726682412065;-17.993089509452;-129.209375517954;-18.4606365154377;101;2211.444;11;10;9;0.156433046468819;28.218033663551;244.047826948549;18.4757166055476
1;2018-09-10 11:59:00;"1S";381.1;335.7;13.7;15.73;1003;18.2;18.1;533.824226732304;540.121334511507;286;20287.6365023697;20.2876365023697;-112.411356251766;-18.161980730247;-127.912373948327;-18.4537859602961;101;2211.444;11;10;9;0.488552779425019;32.88448959021;121.742661624449;19.7179137340418
1;2018-09-10 13:08:00;"1S";381.1;322;13.2;15.37;1002;17.8;17.8;533.824226732304;539.779001429773;529;19581.9086729858;19.5819086729858;-116.660763146369;-18.6070340399232;-124.473692987507;-18.335363502424;101;2211.444;13;10;9;0.522767539612221;32.1955091730166;92.9416302158447;22.209215031885
1;2018-09-10 14:24:00;"1S";384;329.8;13.9;16.21;1001;17.7;17.5;540.668127075026;547.016362910098;340;18634.2449259259;18.6342449259259;-124.890082203561;-18.1731446926956;-124.656431661127;-18.4265129482587;101;2211.444;14;10;9;0.564191693253604;20.4950753380038;6.89235128672712;22.7556719249426
1;2018-09-10 14:59:00;"1S";384.8;347.4;13.7;16.83;1001;17.8;17.8;533.824226732304;539.539330628344;216;21483.1499194313;21.4831499194313;-95.40205420557;-17.5985335352795;-119.353351245128;-17.8125956674756;101;2211.444;14;10;9;0.754790879169651;45.386214076666;142.725370547354;23.1474140946768
1;2018-09-10 16:08:00;"1S";380;323.7;14;16.19;1001;18.1;18;533.824226732304;540.21172837132;437;20691.3946635071;20.6913946635071;-101.090701941636;-17.1342579696893;-113.342681832559;-17.2115650382921;101;2211.444;16;10;9;0.528112309737105;35.9833618158784;110.35291742748;24.3498384737778
1;2018-09-10 16:45:00;"1S";380.8;359.9;14.3;16.42;1000;17.1;17.1;533.824226732304;540.420532993438;152;20972.8695238095;20.9728695238095;-87.133648770716;-16.4595664921714;-110.878036584726;-16.753653495118;101;2211.444;16;10;9;0.511743086081866;44.5428831666552;188.835898545548;23.151191376218
1;2018-09-10 17:22:00;"1S";382.8;354.7;14.1;16.01;1000;17;16.9;533.824226732304;540.424609452526;100;20649.5031469194;20.6495031469194;-85.8520905658636;-15.8693991613168;-114.291213195385;-17.380126988863;101;2211.444;17;10;9;0.461051646181613;41.1031027246708;161.826416928357;24.749802715519
1;2018-09-10 17:59:00;"1S";380.9;369.2;14;14.58;1000;16.2;16.2;526.980326389582;534.152817241659;60;18652.4857109005;18.6524857109005;-93.0702634577228;-16.9797924144033;-115.957660125224;-17.5296710290967;101;2211.444;17;10;9;0.138210287136236;42.7680758575036;489.039021546048;24.2797081075496
1;2018-09-11 07:45:00;"1S";387;366.3;13.3;13.74;992;13.7;13.7;526.980326389582;533.904784341324;66;17556.2282786885;17.5562282786885;-139.094534934894;-18.9746528794344;-144.230889582044;-19.5010008995;101;2211.444;7;11;9;0.105694815262285;12.7026881005812;40.6801596281163;11.777117613956
1;2018-09-11 10:08:00;"1S";385.5;358.8;12.6;13.54;992;14.2;14.2;526.980326389582;533.254157924912;142;17409.9078767773;17.4099078767773;-120.820353509207;-18.2094791495627;-129.850911252134;-18.3795181836771;101;2211.444;10;11;9;0.225802717942413;24.8554796872946;127.669408327879;17.1852342172828
1;2018-09-11 10:45:00;"1S";383.8;342.1;12.4;13.88;991;14.8;14.8;526.980326389582;532.860793551011;1100;17755.2594549763;17.7552594549763;-110.516722973056;-18.0282711425341;-126.607783243712;-18.1274350528504;101;2211.444;10;11;9;0.355877992011156;33.7094461672168;161.879775527188;18.4116971790912
1;2018-09-11 11:22:00;"1S";383.2;343.6;12.5;14.16;991;14.9;14.9;526.980326389582;532.818309770331;329;18143.5398578199;18.1435398578199;-104.261352495789;-17.6276634172256;-126.702080554171;-18.2766284329767;101;2211.444;11;11;9;0.399160410582459;36.7599548420158;166.647062766513;19.5109469096426
