MpNo,d2H_b,d18O_b,d2H_a,d18O_a,d2H_b_tree,d18O_b_tree,d2H_a_tree,d18O_a_tree,d2H_b_camp,d18O_b_camp,d2H_a_camp,d18O_a_camp,diam_cm,length_cm,sd_d18O_camp,d18_up_lim,d18_lw_lim,
2,-97.35911369,-11.1155953,NA,NA,-96.1,-11.4,205.5,-10.4,-99.6,-12,103.3,-11.4,0.25,9.65,1.0311008,-9.0533937,-13.1777969,TREE4
7,-102.8128506,-12.4554105,10.65319451,-11.99495108,-102.3,-12.5,-25.9,-12.7,-99.6,-12,103.3,-11.4,0.75,9.9,1.0311008,-9.93274948,-14.5176121,TREE2
